defined_class	defined_class_label	behavior_process	behavior_process_label
MP:0002798	"abnormal active avoidance behavior"	NBO:0000217	"active avoidance learning behavior"
MP:0002061	"abnormal aggression-related behavior"	NBO:0000015	"aggressive behavior"
MP:0001425	"abnormal alcohol consumption"	NBO:0000131	"alcohol consumption"
MP:0011000	"abnormal allogrooming behavior"	NBO:0000450	"social grooming"
MP:0001362	"abnormal anxiety-related response"	NBO:0000092	"anxiety-related behavior"
MP:0002062	"abnormal associative learning"	NBO:0000171	"associative learning behavior"
MP:0001462	"abnormal avoidance learning behavior"	NBO:0000210	"avoidance learning behavior"
MP:0002808	"abnormal barbering behavior"	NBO:0000560	"barbering behavior"
MP:0009748	"abnormal behavioral response to addictive substance"	NBO:0001728	"behavioral response to addictive substance"
MP:0009777	"abnormal behavioral response to anesthetic"	NBO:0002362	"behavioral response to anesthetic"
MP:0011275	"abnormal behavioral response to light"	NBO:0001571	"behavioral response to light"
MP:0009745	"abnormal behavioral response to xenobiotic"	NBO:0001679	"behavioral response to xenobiotics"
MP:0001993	"abnormal blinking"	NBO:0000415	"corneal reflex"
MP:0002735	"abnormal chemical nociception"	NBO:0000333	"chemical nociceptive behavior"
MP:0001980	"abnormal chemically-elicited antinociception"	NBO:0000336	"chemically-elicited antinociceptive behavior"
MP:0020467	"abnormal circadian behavior"	NBO:0000084	"circadian behavior"
MP:0011022	"abnormal circadian regulation of systemic arterial blood pressure"	NBO:0000537	"circadian regulation of systemic arterial blood pressure"
MP:0011020	"abnormal circadian temperature homeostasis"	NBO:0000538	"circadian temperature homeostasis"
MP:0002556	"abnormal cocaine consumption"	NBO:0001915	"cocaine consumption"
MP:0014114	"abnormal cognition"	NBO:0000607	"cognitive behavior"
MP:0009711	"abnormal conditioned place preference behavior"	NBO:0000222	"conditioned place preference behavior"
MP:0002805	"abnormal conditioned taste aversion behavior"	NBO:0000211	"conditioned taste aversion"
MP:0002069	"abnormal consumption behavior"	NBO:0000079	"feeding behavior"
MP:0001469	"abnormal contextual conditioning behavior"	NBO:0000223	"contextual conditioning behavior"
MP:0003062	"abnormal coping response"	NBO:0000103	"coping behavior"
MP:0001454	"abnormal cued conditioning behavior"	NBO:0000224	"cued conditioning behavior"
MP:0003360	"abnormal depression-related behavior"	NBO:0000085	"depression behavior"
MP:0002802	"abnormal discrimination learning"	NBO:0000641	"discrimination learning"
MP:0002572	"abnormal emotion/affect behavior"	NBO:0000003	"emotional behavior"
MP:0002807	"abnormal eye blink conditioning behavior"	NBO:0000227	"eye blink conditioning behavior"
MP:0001389	"abnormal eye movement"	NBO:0000444	"eye movement"
MP:0003106	"abnormal fear-related response"	NBO:0000091	"fear-related behavior"
MP:0002065	"abnormal fear/anxiety-related behavior"	NBO:0000018	"fear/anxiety related behavior"
MP:0005449	"abnormal food intake"	NBO:0000134	"food consumption"
MP:0001406	"abnormal gait"	NBO:0000361	"gait"
MP:0001440	"abnormal grooming behavior"	NBO:0000027	"grooming behavior"
MP:0000436	"abnormal head movements"	NBO:0000020	"head movement"
MP:0001448	"abnormal huddling behavior"	NBO:0000052	"huddling behavior"
MP:0010698	"abnormal impulsive behavior control"	NBO:0000119	"impulsive behavior"
MP:0003492	"abnormal involuntary movement"	NBO:0000388	"involuntary movement behavior"
MP:0004263	"abnormal limb posture"	NBO:0000357	"limb posture"
MP:0003313	"abnormal locomotor activation"	NBO:0000447	"locomotor activation behavior"
MP:0001392	"abnormal locomotor behavior"	NBO:0000013	"locomotory behavior"
MP:0003312	"abnormal locomotor coordination"	NBO:0000339	"motor coordination"
MP:0002801	"abnormal long term object recognition memory"	NBO:0000552	"long term object recognition memory"
MP:0008432	"abnormal long term spatial reference memory"	NBO:0000599	"long-term spatial memory"
MP:0008819	"abnormal mastication"	NBO:0000073	"chewing"
MP:0008779	"abnormal maternal behavior"	NBO:0000150	"maternal behavior"
MP:0009327	"abnormal maternal grooming"	NBO:0000559	"maternal grooming"
MP:0001386	"abnormal maternal nurturing"	NBO:0000152	"maternal nurturing behavior"
MP:0001376	"abnormal mating receptivity"	NBO:0000146	"mating receptivity"
MP:0002734	"abnormal mechanical nociception"	NBO:0000334	"mechanical nociceptive behavior"
MP:0002804	"abnormal motor learning"	NBO:0000174	"motor learning"
MP:0001447	"abnormal nest building behavior"	NBO:0000157	"nest building behavior"
MP:0001458	"abnormal object recognition memory"	NBO:0000551	"visual object recognition"
MP:0009731	"abnormal offspring retrieval"	NBO:0000155	"offspring retrieval"
MP:0001460	"abnormal olfactory -discrimination memory"	NBO:0000172	"olfactory learning behavior"
MP:0002803	"abnormal operant conditioning behavior"	NBO:0000212	"operant conditioning behavior"
MP:0009619	"abnormal optokinetic reflex"	NBO:0000574	"optokinetic reflex"
MP:0001970	"abnormal pain threshold"	NBO:0000331	"nociceptive behavior"
MP:0002068	"abnormal parental behavior"	NBO:0000044	"parental behavior"
MP:0002799	"abnormal passive avoidance behavior"	NBO:0000218	"passive avoidance learning behavior"
MP:0001492	"abnormal pilomotor reflex"	NBO:0000575	"pilomotor reflex"
MP:0001485	"abnormal pinna reflex"	NBO:0000576	"pinna reflex"
MP:0002980	"abnormal postural reflex"	NBO:0000577	"postural reflex"
MP:0001504	"abnormal posture"	NBO:0000355	"posture"
MP:0002638	"abnormal pupillary reflex"	NBO:0000412	"pupillary light reflex"
MP:0001961	"abnormal reflex"	NBO:0000389	"reflexive behavior"
MP:0001413	"abnormal response to new environment"	NBO:0000097	"response to novel environment"
MP:0003461	"abnormal response to novel object"	NBO:0000098	"response to novel object"
MP:0003462	"abnormal response to novel odor"	NBO:0000099	"response to novel odor"
MP:0003107	"abnormal response to novelty"	NBO:0000086	"novelty response behavior"
MP:0005316	"abnormal response to tactile stimuli"	NBO:0000332	"touch related behavior"
MP:0009393	"abnormal resting posture"	NBO:0000358	"resting posture"
MP:0002849	"abnormal saccharin consumption"	NBO:0000136	"saccharin consumption"
MP:0002566	"abnormal sexual interaction"	NBO:0000014	"mating behavior"
MP:0002800	"abnormal short term object recognition memory"	NBO:0000553	"short term object recognition memory"
