defined_class	defined_class_label	entity	entity_label
MP:0030566	"abnormal A band morphology"	GO:0031672	"A band"
MP:0000815	"abnormal Ammon gyrus morphology"	UBERON:0001954	"Ammon's horn"
MP:0004939	"abnormal B cell morphology"	CL:0000236	"B cell"
MP:0004940	"abnormal B-1 B cell morphology"	CL:0000819	"B-1 B cell"
MP:0008164	"abnormal B-1a B cell morphology"	CL:0000820	"B-1a B cell"
MP:0008165	"abnormal B-1b B cell morphology"	CL:0000821	"B-1b B cell"
MP:0008166	"abnormal B-2 B cell morphology"	CL:0000822	"B-2 B cell"
MP:0010517	"abnormal Bachmann's bundle morphology"	UBERON:0005982	"Bachmann's bundle"
MP:0011787	"abnormal Bartholin's gland morphology"	UBERON:0000460	"major vestibular gland"
MP:0010387	"abnormal Bergmann glial cell morphology"	CL:0000644	"Bergmann glial cell"
MP:0011739	"abnormal Boettcher cell morphology"	CL:0002084	"Boettcher cell"
MP:0005239	"abnormal Bruch membrane morphology"	UBERON:0003957	"Bruch's membrane"
MP:0012518	"abnormal Brunner's gland morphology"	UBERON:0001212	"duodenal gland"
MP:0010183	"abnormal CD4-positive helper T cell morphology"	CL:0000492	"CD4-positive helper T cell"
MP:0008397	"abnormal CD4-positive, CD25-positive, alpha-beta regulatory T cell morphology"	CL:0000792	"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
MP:0002432	"abnormal CD4-positive, alpha beta T cell morphology"	CL:0000624	"CD4-positive, alpha-beta T cell"
MP:0008400	"abnormal CD4-positive, alpha-beta intraepithelial T cell morphology"	CL:0000793	"CD4-positive, alpha-beta intraepithelial T cell"
MP:0010834	"abnormal CD4-positive, alpha-beta memory T cell morphology"	CL:0000897	"CD4-positive, alpha-beta memory T cell"
MP:0008357	"abnormal CD4-positive, gamma-delta intraepithelial T cell morphology"	CL:0000803	"CD4-negative CD8-negative gamma-delta intraepithelial T cell"
MP:0008401	"abnormal CD8 positive, alpha-beta intraepithelial T cell morphology"	CL:0000796	"CD8-alpha-beta-positive, alpha-beta intraepithelial T cell"
MP:0005010	"abnormal CD8-positive, alpha beta T cell morphology"	CL:0000625	"CD8-positive, alpha-beta T cell"
MP:0002436	"abnormal CD8-positive, alpha-beta cytotoxic T cell morphology"	CL:0000794	"CD8-positive, alpha-beta cytotoxic T cell"
MP:0010837	"abnormal CD8-positive, alpha-beta memory T cell morphology"	CL:0000909	"CD8-positive, alpha-beta memory T cell"
MP:0008398	"abnormal CD8-positive, alpha-beta regulatory T cell morphology"	CL:0000795	"CD8-positive, alpha-beta regulatory T cell"
MP:0008361	"abnormal CD8-positive, gamma-delta intraepithelial T cell morphology"	CL:0000802	"CD8-alpha alpha positive, gamma-delta intraepithelial T cell"
MP:0008888	"abnormal Cajal body morphology"	GO:0015030	"Cajal body"
MP:0008030	"abnormal Cajal-Retzius cell morphology"	CL:0000695	"Cajal-Retzius cell"
MP:0010809	"abnormal Clara cell morphology"	CL:0000158	"Clara cell"
MP:0004430	"abnormal Claudius cell morphology"	CL:0000634	"Claudius cell"
MP:0004302	"abnormal Deiters cell morphology"	CL:0000635	"Deiter's cell"
MP:3000003	"abnormal Ebner's gland morphology"	UBERON:0013475	"gustatory gland"
MP:0003245	"abnormal GABAergic neuron morphology"	CL:0000617	"GABAergic neuron"
MP:0011743	"abnormal Golgi apparatus morphology"	GO:0005794	"Golgi apparatus"
MP:0011839	"abnormal Guerin's valve morphology"	UBERON:0012295	"Guérin's valve"
MP:0030568	"abnormal H zone morphology"	GO:0031673	"H zone"
MP:0005248	"abnormal Harderian gland morphology"	UBERON:0004187	"Harderian gland"
MP:0009539	"abnormal Hassall's corpuscle morphology"	UBERON:0003987	"Hassall's corpuscle"
MP:0004303	"abnormal Hensen cell morphology"	CL:0000633	"Hensen cell"
MP:0030567	"abnormal I band morphology"	GO:0031674	"I band"
MP:0008990	"abnormal Ito cell morphology"	CL:0000632	"hepatic stellate cell"
MP:0008114	"abnormal Kupffer cell morphology"	CL:0000091	"Kupffer cell"
MP:0001019	"abnormal L4 dorsal root ganglion morphology"	UBERON:0003943	"fourth lumbar dorsal root ganglion"
MP:0001022	"abnormal L5 dorsal root ganglion morphology"	UBERON:0002859	"fifth lumbar dorsal root ganglion"
MP:0008117	"abnormal Langerhans cell morphology"	CL:0000453	"Langerhans cell"
MP:0002786	"abnormal Leydig cell morphology"	CL:0000178	"Leydig cell"
MP:0004094	"abnormal M line morphology"	GO:0031430	"M band"
MP:0005587	"abnormal Meckel's cartilage morphology"	UBERON:0003107	"Meckel's cartilage"
MP:0009935	"abnormal Meibomian gland acinus morphology"	UBERON:0004000	"tarsal gland acinus"
MP:0005252	"abnormal Meibomian gland morphology"	UBERON:0001818	"tarsal gland"
MP:0000985	"abnormal Merkel's receptor morphology"	CL:0000242	"Merkel cell"
MP:0005547	"abnormal Muller cell morphology"	CL:0000636	"Mueller cell"
MP:0003826	"abnormal Mullerian duct morphology"	UBERON:0003890	"Mullerian duct"
MP:0008036	"abnormal NK T cell morphology"	CL:0000814	"mature NK T cell"
MP:0005068	"abnormal NK cell morphology"	CL:0000623	"natural killer cell"
MP:0008886	"abnormal PML bodies"	GO:0016605	"PML body"
MP:0009184	"abnormal PP cell morphology"	CL:0000696	"PP cell"
MP:0004843	"abnormal Paneth cell morphology"	CL:0000510	"paneth cell"
MP:0002392	"abnormal Peyer's patch T cell area morphology"	UBERON:0010387	"Peyer's patch T cell area"
MP:0002388	"abnormal Peyer's patch epithelium morphology"	UBERON:0004693	"Peyer's patch epithelium"
MP:0002389	"abnormal Peyer's patch follicle morphology"	UBERON:0010386	"Peyer's patch follicle"
MP:0002391	"abnormal Peyer's patch germinal center morphology"	UBERON:0004697	"Peyer's patch germinal center"
MP:0000696	"abnormal Peyer's patch morphology"	UBERON:0001211	"Peyer's patch"
MP:0000877	"abnormal Purkinje cell morphology"	CL:0000121	"Purkinje cell"
MP:0004124	"abnormal Purkinje fiber morphology"	UBERON:0002354	"cardiac Purkinje fiber"
MP:0006021	"abnormal Reissner membrane morphology"	UBERON:0002281	"vestibular membrane of cochlear duct"
MP:0004305	"abnormal Rosenthal canal morphology"	UBERON:0006495	"osseus cochlear canal"
MP:0012026	"abnormal S-shaped body morphology"	UBERON:0004199	"S-shaped body"
MP:0001106	"abnormal Schwann cell morphology"	CL:0000218	"myelinating Schwann cell"
MP:0004074	"abnormal Schwann cell precursor morphology"	CL:0002375	"Schwann cell precursor"
MP:0002784	"abnormal Sertoli cell morphology"	CL:0000216	"Sertoli cell"
MP:0008037	"abnormal T cell morphology"	CL:0000084	"T cell"
MP:0010184	"abnormal T follicular helper cell morphology"	CL:0002038	"T follicular helper cell"
MP:0002433	"abnormal T-helper 1 cell morphology"	CL:0000545	"T-helper 1 cell"
MP:0010217	"abnormal T-helper 17 cell morphology"	CL:0000899	"T-helper 17 cell"
MP:0002434	"abnormal T-helper 2 cell morphology"	CL:0000546	"T-helper 2 cell"
MP:0013760	"abnormal T-helper cell morphology"	CL:0000912	"helper T cell"
MP:0010671	"abnormal Tc17 cell morphology"	CL:0002128	"Tc17 cell"
MP:0003827	"abnormal Wolffian duct morphology"	UBERON:0003074	"mesonephric duct"
MP:0004091	"abnormal Z line morphology"	GO:0030018	"Z disc"
MP:0013397	"abnormal Zeis gland morphology"	UBERON:0018233	"gland of Zeis"
MP:0013384	"abnormal Zymbal's gland morphology"	UBERON:1000022	"Zymbal's gland"
MP:0009870	"abnormal abdominal aorta morphology"	UBERON:0001516	"abdominal aorta"
MP:0000010	"abnormal abdominal fat pad morphology"	UBERON:0003427	"abdominal fat pad"
MP:0009625	"abnormal abdominal lymph node morphology"	UBERON:0002507	"abdominal lymph node"
MP:0013710	"abnormal abdominal mammary gland morphology"	UBERON:0003488	"abdominal mammary gland"
MP:0013857	"abnormal abdominal muscle morphology"	UBERON:0002378	"muscle of abdomen"
MP:0001070	"abnormal abducens nerve morphology"	UBERON:0001646	"abducens nerve"
MP:0001075	"abnormal accessory nerve morphology"	UBERON:0002019	"accessory XI nerve"
MP:0009945	"abnormal accessory olfactory bulb morphology"	UBERON:0004069	"accessory olfactory bulb"
MP:0013819	"abnormal acromioclavicular joint morphology"	UBERON:0003692	"acromioclavicular joint"
MP:0004345	"abnormal acromion morphology"	UBERON:0002497	"acromion"
MP:0008898	"abnormal acrosome morphology"	GO:0001669	"acrosomal vesicle"
MP:0004163	"abnormal adenohypophysis morphology"	UBERON:0002196	"adenohypophysis"
MP:0000003	"abnormal adipose tissue morphology"	UBERON:0001013	"adipose tissue"
MP:0008288	"abnormal adrenal cortex morphology"	UBERON:0001235	"adrenal cortex"
MP:0013565	"abnormal adrenal gland capsule morphology"	UBERON:0002052	"adrenal gland capsule"
MP:0000639	"abnormal adrenal gland morphology"	UBERON:0002369	"adrenal gland"
MP:0008296	"abnormal adrenal gland x-zone morphology"	UBERON:0009024	"adrenal gland X zone"
MP:0008294	"abnormal adrenal gland zona fasciculata morphology"	UBERON:0002054	"zona fasciculata of adrenal gland"
MP:0008293	"abnormal adrenal gland zona glomerulosa morphology"	UBERON:0002053	"zona glomerulosa of adrenal gland"
MP:0011921	"abnormal adrenal gland zona intermedia morphology"	UBERON:0013745	"zona intermedia of adrenal gland"
MP:0008295	"abnormal adrenal gland zona reticularis morphology"	UBERON:0002055	"zona reticularis of adrenal gland"
MP:0008289	"abnormal adrenal medulla morphology"	UBERON:0001236	"adrenal medulla"
MP:0003834	"abnormal adrenergic chromaffin cell morphology"	CL:0002082	"type II cell of adrenal medulla"
MP:0001026	"abnormal adrenergic neuron morphology"	CL:0000109	"adrenergic neuron"
MP:0008291	"abnormal adrenocortical cell morphology"	CL:0002097	"cortical cell of adrenal gland"
MP:0002349	"abnormal afferent lymphatic vessel morphology"	UBERON:0010396	"afferent lymphatic vessel"
MP:0011113	"abnormal airway basal cell morphology"	CL:0002633	"respiratory basal cell"
MP:0003235	"abnormal alisphenoid bone morphology"	UBERON:0006721	"alisphenoid bone"
MP:0001726	"abnormal allantois morphology"	UBERON:0004340	"allantois"
MP:0012762	"abnormal alpha-beta T cell morphology"	CL:0000789	"alpha-beta T cell"
MP:0008399	"abnormal alpha-beta intraepithelial T cell morphology"	CL:0000797	"alpha-beta intraepithelial T cell"
MP:0010813	"abnormal alveolar lamellar body morphology"	GO:0097208	"alveolar lamellar body"
MP:0008245	"abnormal alveolar macrophage morphology"	CL:0000583	"alveolar macrophage"
MP:0010904	"abnormal alveolar pore morphology"	UBERON:0008873	"alveolar pore"
MP:0004189	"abnormal alveolar process morphology"	UBERON:0004103	"alveolar ridge"
MP:0002324	"abnormal alveolocapillary membrane morphology"	UBERON:0003948	"blood-air barrier"
MP:0005240	"abnormal amacrine cell morphology"	CL:0000561	"amacrine cell"
MP:0002650	"abnormal ameloblast morphology"	CL:0000059	"ameloblast"
MP:0005029	"abnormal amnion morphology"	UBERON:0000305	"amnion"
MP:0011199	"abnormal amniotic cavity morphology"	UBERON:0000301	"amniotic cavity"
MP:0013323	"abnormal ampullary gland morphology"	UBERON:0009645	"ampullary gland"
MP:0000818	"abnormal amygdala morphology"	UBERON:0001876	"amygdala"
MP:0009053	"abnormal anal canal morphology"	UBERON:0000159	"anal canal"
MP:0010002	"abnormal ansiform lobule crus I morphology"	UBERON:0005976	"ansiform lobule crus I"
MP:0010003	"abnormal ansiform lobule crus II morphology"	UBERON:0005977	"ansiform lobule crus II"
MP:0010001	"abnormal ansiform lobule morphology"	UBERON:0005348	"ansiform lobule"
MP:0009519	"abnormal anterior buccal gland morphology"	UBERON:0010242	"anterior buccal gland"
MP:0004784	"abnormal anterior cardinal vein morphology"	UBERON:0003087	"anterior cardinal vein"
MP:0013822	"abnormal anterior cerebral artery morphology"	UBERON:0001624	"anterior cerebral artery"
MP:0008225	"abnormal anterior commissure morphology"	UBERON:0000935	"anterior commissure"
MP:0010859	"abnormal anterior commissure pars anterior morphology"	UBERON:0003039	"anterior commissure anterior part"
MP:0010860	"abnormal anterior commissure pars posterior morphology"	UBERON:0003043	"posterior part of anterior commissure"
MP:0009682	"abnormal anterior corticospinal tract morphology"	UBERON:0002760	"ventral corticospinal tract"
MP:0030307	"abnormal anterior cranial fossa"	UBERON:0003720	"anterior cranial fossa"
MP:0008926	"abnormal anterior definitive endoderm morphology"	UBERON:0004046	"anterior definitive endoderm"
MP:0005193	"abnormal anterior eye segment morphology"	UBERON:0001801	"anterior segment of eyeball"
MP:0030363	"abnormal anterior fontanelle morphology"	UBERON:0002510	"anterior fontanel"
MP:0008848	"abnormal anterior hypothalamic nucleus morphology"	UBERON:0002634	"anterior nucleus of hypothalamus"
MP:0014014	"abnormal anterior inferior cerebellar artery morphology"	UBERON:0009689	"anterior inferior cerebellar artery"
MP:0009518	"abnormal anterior lingual gland morphology"	UBERON:0006330	"anterior lingual gland"
MP:0005194	"abnormal anterior uvea morphology"	UBERON:0011892	"anterior uvea"
MP:0008533	"abnormal anterior visceral endoderm morphology"	UBERON:0004044	"anterior visceral endoderm"
MP:0005034	"abnormal anus morphology"	UBERON:0001245	"anus"
MP:0011572	"abnormal aorta bulb morphology"	UBERON:0010172	"bulb of aorta"
