defined_class	defined_class_label	entity	entity_label
MP:0013442	"abnormal Harderian gland size"	UBERON:0004187	"Harderian gland"
MP:0008134	"abnormal Peyer's patch size"	UBERON:0001211	"Peyer's patch"
MP:0020143	"abnormal adrenal gland x-zone size"	UBERON:0009024	"adrenal gland X zone"
MP:0020436	"abnormal astrocyte size"	CL:0000127	"astrocyte"
MP:0003956	"abnormal body size"	UBERON:0000468	"multicellular organism"
MP:0000771	"abnormal brain size"	UBERON:0000955	"brain"
MP:0013229	"abnormal brain ventricle size"	UBERON:0004086	"brain ventricle"
MP:0009135	"abnormal brown fat cell size"	CL:0000449	"brown fat cell"
MP:0020538	"abnormal cerebellum fastigial nucleus size"	UBERON:0002153	"fastigial nucleus"
MP:0009100	"abnormal clitoris size"	UBERON:0002411	"clitoris"
MP:0020573	"abnormal corpus callosum size"	UBERON:0002336	"corpus callosum"
MP:0010031	"abnormal cranium size"	UBERON:0003128	"cranium"
MP:0001697	"abnormal embryo size"	UBERON:0000922	"embryo"
MP:0004926	"abnormal epididymis size"	UBERON:0001301	"epididymis"
MP:0002697	"abnormal eye size"	UBERON:0000019	"camera-type eye"
MP:0003671	"abnormal eyelid aperture"	UBERON:0001819	"palpebral fissure"
MP:0030063	"abnormal face size"	UBERON:0001456	"face"
MP:0004198	"abnormal fetal size"	UBERON:0000323	"late embryo"
MP:0012137	"abnormal forebrain size"	UBERON:0001890	"forebrain"
MP:0030041	"abnormal forehead size"	UBERON:0008200	"forehead"
MP:0020134	"abnormal gallbladder size"	UBERON:0002110	"gall bladder"
MP:0011496	"abnormal head size"	UBERON:0000033	"head"
MP:0020323	"abnormal heart apex size"	UBERON:0002098	"apex of heart"
MP:0010578	"abnormal heart left ventricle size"	UBERON:0002084	"heart left ventricle"
MP:0010577	"abnormal heart right ventricle size"	UBERON:0002080	"heart right ventricle"
MP:0005406	"abnormal heart size"	UBERON:0000948	"heart"
MP:0012262	"abnormal hindbrain size"	UBERON:0002028	"hindbrain"
MP:0020544	"abnormal hippocampal fornix size"	UBERON:0000052	"fornix of brain"
MP:0008281	"abnormal hippocampus size"	UBERON:0001954	"Ammon's horn"
MP:0002706	"abnormal kidney size"	UBERON:0002113	"kidney"
MP:0004848	"abnormal liver size"	UBERON:0002107	"liver"
MP:0004881	"abnormal lung size"	UBERON:0002048	"lung"
MP:0000701	"abnormal lymph node size"	UBERON:0000029	"lymph node"
MP:0002221	"abnormal lymph organ size"	UBERON:0004177	"hemopoietic organ"
MP:0012088	"abnormal midbrain size"	UBERON:0001891	"midbrain"
MP:0020066	"abnormal neocortex size"	UBERON:0001950	"neocortex"
MP:0020547	"abnormal optic chiasm size"	UBERON:0000959	"optic chiasma"
MP:0006216	"abnormal optic disk size"	UBERON:0001783	"optic disc"
MP:0006210	"abnormal orbit size"	UBERON:0001697	"orbit of skull"
MP:0004853	"abnormal ovary size"	UBERON:0000992	"ovary"
MP:0009063	"abnormal oviduct size"	UBERON:0003889	"fallopian tube"
MP:0009106	"abnormal pancreas size"	UBERON:0001264	"pancreas"
MP:0009170	"abnormal pancreatic islet size"	UBERON:0000006	"islet of Langerhans"
MP:0020811	"abnormal photoreceptor outer segment size"	GO:0001750	"photoreceptor outer segment"
MP:0008936	"abnormal pituitary gland size"	UBERON:0000007	"pituitary gland"
MP:0011519	"abnormal placenta labyrinth size"	UBERON:0003946	"placenta labyrinth"
MP:0004258	"abnormal placenta size"	UBERON:0001987	"placenta"
MP:0020532	"abnormal pons size"	UBERON:0000988	"pons"
MP:0020561	"abnormal pontine nuclei size"	UBERON:0002151	"pontine nuclear group"
MP:0020565	"abnormal pontocerebellar fibers size"	UBERON:0022421	"pontocerebellar tract"
MP:0020569	"abnormal premotor cortex size"	UBERON:0016634	"premotor cortex"
MP:0004959	"abnormal prostate gland size"	UBERON:0002367	"prostate gland"
MP:0004907	"abnormal seminal vesicle size"	UBERON:0000998	"seminal vesicle"
MP:0006307	"abnormal seminiferous tubule size"	UBERON:0001343	"seminiferous tubule of testis"
MP:0012005	"abnormal septum pellucidum size"	UBERON:0004714	"septum pellucidum"
MP:0009398	"abnormal skeletal muscle fiber size"	CL:0000188	"cell of skeletal muscle"
MP:0009458	"abnormal skeletal muscle size"	UBERON:0001134	"skeletal muscle tissue"
MP:0005222	"abnormal somite size"	UBERON:0002329	"somite"
MP:0002224	"abnormal spleen size"	UBERON:0002106	"spleen"
MP:0012097	"abnormal spongiotrophoblast size"	UBERON:0004021	"spongiotrophoblast layer"
MP:0012280	"abnormal sternebra size"	UBERON:0002208	"sternebra"
MP:0020553	"abnormal stria medullaris size"	UBERON:0006086	"stria medullaris"
MP:0020535	"abnormal subiculum size"	UBERON:0002191	"subiculum"
MP:0020541	"abnormal substantia nigra size"	UBERON:0002038	"substantia nigra"
MP:0004849	"abnormal testis size"	UBERON:0000473	"testis"
MP:0020525	"abnormal thalamus size"	UBERON:0001897	"dorsal plus ventral thalamus"
MP:0002364	"abnormal thymus size"	UBERON:0002370	"thymus"
MP:0009225	"abnormal uterine cervix size"	UBERON:0000002	"uterine cervix"
MP:0004902	"abnormal uterus size"	UBERON:0000995	"uterus"
MP:0008977	"abnormal vagina size"	UBERON:0000996	"vagina"
MP:0020557	"abnormal ventromedial hypothalamic nucleus size"	UBERON:0001935	"ventromedial nucleus of hypothalamus"
MP:0009132	"abnormal white fat cell size"	CL:0000448	"white fat cell"
MP:0002641	"anisopoikilocytosis"	CL:0000232	"erythrocyte"
