defined_class	defined_class_label	entity	entity_label
MP:0013852	"abnormal Mullerian duct topology"	UBERON:0003890	"Mullerian duct"
MP:0013851	"abnormal Wolffian duct topology"	UBERON:0003074	"mesonephric duct"
MP:0013858	"abnormal azygos vein topology"	UBERON:0001594	"azygos vein"
MP:0020484	"abnormal brain internal capsule topology"	UBERON:0001887	"internal capsule of telencephalon"
MP:0020482	"abnormal brain vascular topology"	UBERON:0003499	"brain blood vessel"
MP:0013951	"abnormal descending aorta topology"	UBERON:0001514	"descending aorta"
MP:0003283	"abnormal digestive organ placement"	UBERON:0013765	"digestive system element"
MP:0013950	"abnormal dorsal root ganglion topology"	UBERON:0000044	"dorsal root ganglion"
MP:0013874	"abnormal ductus venosus topology"	UBERON:0002083	"ductus venosus"
MP:0014022	"abnormal duodenum topology"	UBERON:0002114	"duodenum"
MP:0000023	"abnormal ear position"	UBERON:0001691	"external ear"
MP:0013918	"abnormal endolymphatic sac topology"	UBERON:0002223	"endolymphatic sac"
MP:0013938	"abnormal esophagus topology"	UBERON:0001043	"esophagus"
MP:0001299	"abnormal eye distance/ position"	UBERON:0000019	"camera-type eye"
MP:0013845	"abnormal eye muscle topology"	UBERON:0004277	"eye muscle"
MP:0013927	"abnormal facial nerve topology"	UBERON:0001647	"facial nerve"
MP:0006065	"abnormal heart position or orientation"	UBERON:0000948	"heart"
MP:0013836	"abnormal hypoglossal nerve topology"	UBERON:0001650	"hypoglossal nerve"
MP:0020485	"abnormal inferior vena cava topology"	UBERON:0001072	"posterior vena cava"
MP:0013997	"abnormal internal carotid artery topology"	UBERON:0001532	"internal carotid artery"
MP:0014023	"abnormal intestine placement"	UBERON:0000160	"intestine"
MP:0003284	"abnormal large intestine placement"	UBERON:0000059	"large intestine"
MP:0020486	"abnormal lens topology"	UBERON:0000965	"lens of camera-type eye"
MP:0012000	"abnormal limb position"	UBERON:0002101	"limb"
MP:0013841	"abnormal lymphatic vessel topology"	UBERON:0001473	"lymphatic vessel"
MP:0020491	"abnormal ovary topology"	UBERON:0000992	"ovary"
MP:0013861	"abnormal pancreas topology"	UBERON:0001264	"pancreas"
MP:0006241	"abnormal placement of pupils"	UBERON:0001771	"pupil"
MP:0000497	"abnormal small intestine placement"	UBERON:0002108	"small intestine"
MP:0013871	"abnormal stapedial artery topology"	UBERON:0006345	"stapedial artery"
MP:0010807	"abnormal stomach position or orientation"	UBERON:0000945	"stomach"
MP:0020492	"abnormal superior mesenteric vein topology"	UBERON:0001138	"superior mesenteric vein"
MP:0013176	"abnormal tail position or orientation"	UBERON:0002415	"tail"
MP:0013936	"abnormal thymus topology"	UBERON:0002370	"thymus"
MP:0013985	"abnormal umbilical vein topology"	UBERON:0002066	"umbilical vein"
MP:0013943	"abnormal ureter topology"	UBERON:0000056	"ureter"
MP:0013837	"abnormal vagus nerve topology"	UBERON:0001759	"vagus nerve"
MP:0014001	"abnormal vertebral artery topology"	UBERON:0001535	"vertebral artery"
MP:0013986	"abnormal vitelline vein topology"	UBERON:0005487	"vitelline vein"
MP:0000901	"altered position of colliculi"	UBERON:0002259	"corpora quadrigemina"
