defined_class	defined_class_label	entity	entity_label
MP:0008494	"absence of all nails"	UBERON:0001705	"nail"
MP:0008071	"absent B cells"	CL:0000236	"B cell"
MP:0008202	"absent B-1 B cells"	CL:0000819	"B-1 B cell"
MP:0012520	"absent Brunner's glands"	UBERON:0001212	"duodenal gland"
MP:0008360	"absent CD4-positive, gamma-delta intraepithelial T cells"	CL:0000803	"CD4-negative CD8-negative gamma-delta intraepithelial T cell"
MP:0008364	"absent CD8-positive, gamma-delta intraepithelial T cells"	CL:0000802	"CD8-alpha alpha positive, gamma-delta intraepithelial T cell"
MP:0011071	"absent Clara cells"	CL:0000158	"Clara cell"
MP:0004285	"absent Descemet membrane"	UBERON:0004367	"Descemet's membrane"
MP:0008881	"absent Harderian gland"	UBERON:0004187	"Harderian gland"
MP:0009540	"absent Hassall's corpuscle"	UBERON:0003987	"Hassall's corpuscle"
MP:0008118	"absent Langerhans cell"	CL:0000453	"Langerhans cell"
MP:0004146	"absent M line"	GO:0031430	"M band"
MP:0004439	"absent Meckel's cartilage"	UBERON:0003107	"Meckel's cartilage"
MP:0008041	"absent NK T cells"	CL:0000814	"mature NK T cell"
MP:0009187	"absent PP cells"	CL:0000696	"PP cell"
MP:0009718	"absent Purkinje cell layer"	UBERON:0002979	"Purkinje cell layer of cerebellar cortex"
MP:0011759	"absent Rathke's pouch"	UBERON:0005356	"Rathke's pouch"
MP:0004916	"absent Reichert cartilage"	UBERON:0004368	"Reichert's cartilage"
MP:0011116	"absent Reichert's membrane"	UBERON:0004369	"Reichert's membrane"
MP:0004226	"absent Schlemm's canal"	MP:0005204	"abnormal canal of Schlemm morphology"
MP:0001109	"absent Schwann cell precursors"	CL:0002375	"Schwann cell precursor"
MP:0008070	"absent T cells"	CL:0000084	"T cell"
MP:0009073	"absent Wolffian ducts"	UBERON:0003074	"mesonephric duct"
MP:0004092	"absent Z line"	GO:0030018	"Z disc"
MP:0013849	"absent abducens nerve"	UBERON:0001646	"abducens nerve"
MP:0004346	"absent acromion"	UBERON:0002497	"acromion"
MP:0008839	"absent acrosome"	GO:0001669	"acrosomal vesicle"
MP:0008320	"absent adenohypophysis"	UBERON:0002196	"adenohypophysis"
MP:0008290	"absent adrenal cortex"	UBERON:0001235	"adrenal cortex"
MP:0004458	"absent alisphenoid bone"	UBERON:0006721	"alisphenoid bone"
MP:0003087	"absent allantois"	UBERON:0004340	"allantois"
MP:0010905	"absent alveolar pores"	UBERON:0008873	"alveolar pore"
MP:0000094	"absent alveolar process"	UBERON:0004103	"alveolar ridge"
MP:0005030	"absent amnion"	UBERON:0000305	"amnion"
MP:0012142	"absent amniotic cavity"	UBERON:0000301	"amniotic cavity"
MP:0001710	"absent amniotic folds"	UBERON:0005971	"amniotic fold"
MP:0008227	"absent anterior commissure"	UBERON:0000935	"anterior commissure"
MP:0013185	"absent anterior definitive endoderm"	UBERON:0004046	"anterior definitive endoderm"
MP:0009534	"absent anterior lingual gland"	UBERON:0006330	"anterior lingual gland"
MP:0012159	"absent anterior visceral endoderm"	UBERON:0004044	"anterior visceral endoderm"
MP:0008999	"absent anus"	UBERON:0001245	"anus"
MP:0010597	"absent aortic valve cusps"	UBERON:0005990	"aortic valve cusp"
MP:0010652	"absent aorticopulmonary septum"	UBERON:0006207	"aortico-pulmonary spiral septum"
MP:0010729	"absent arcus anterior"	UBERON:0003996	"cervical vertebra 1 arcus anterior"
MP:0000298	"absent atrioventricular cushions"	UBERON:0002062	"endocardial cushion"
MP:0010532	"absent atrioventricular node"	UBERON:0002352	"atrioventricular node"
MP:0006363	"absent auchene hairs"	UBERON:0010510	"strand of auchene hair"
MP:0006364	"absent awl hair"	UBERON:0010511	"strand of awl hair"
MP:0009630	"absent axillary lymph nodes"	UBERON:0001097	"axillary lymph node"
MP:0009609	"absent basioccipital bone"	UBERON:0001692	"basioccipital bone"
MP:0008385	"absent basisphenoid bone"	UBERON:0006428	"basisphenoid bone"
