defined_class	defined_class_label	entity	entity_label
MP:0003130	"anal atresia"	UBERON:0001245	"anus"
MP:0006115	"aortic valve atresia"	UBERON:0002137	"aortic valve"
MP:0000265	"atretic vasculature"	UBERON:0001981	"blood vessel"
MP:0009510	"cecal atresia"	UBERON:0001153	"caecum"
MP:0008970	"choanal atresia"	UBERON:0010425	"internal naris"
MP:0003272	"duodenal atresia"	UBERON:0002114	"duodenum"
MP:0003276	"esophageal atresia"	UBERON:0001043	"esophagus"
MP:0013788	"external nares atresia"	UBERON:0005928	"external naris"
MP:0011879	"ileum atresia"	UBERON:0002116	"ileum"
MP:0011878	"jejunum atresia"	UBERON:0002115	"jejunum"
MP:0006119	"mitral valve atresia"	UBERON:0002135	"mitral valve"
MP:0009576	"oral atresia"	UBERON:0000165	"mouth"
MP:0006130	"pulmonary valve atresia"	UBERON:0002146	"pulmonary valve"
MP:0006123	"tricuspid valve atresia"	UBERON:0002134	"tricuspid valve"
MP:0011489	"ureteropelvic junction atresia"	UBERON:0009972	"ureteropelvic junction"
MP:0003591	"urethra atresia"	UBERON:0000057	"urethra"
MP:0003618	"uterine cervical atresia"	UBERON:0000002	"uterine cervix"
MP:0003568	"uterus atresia"	UBERON:0000995	"uterus"
MP:0001144	"vagina atresia"	UBERON:0000996	"vagina"
