defined_class	defined_class_label	entity	entity_label
MP:0013445	"Harderian gland atrophy"	UBERON:0004187	"Harderian gland"
MP:0013599	"Leydig cell atrophy"	CL:0000178	"Leydig cell"
MP:0001345	"Meibomian gland atrophy"	UBERON:0001818	"tarsal gland"
MP:0013366	"adrenal gland atrophy"	UBERON:0002369	"adrenal gland"
MP:0030466	"alveolar process atrophy"	UBERON:0004103	"alveolar ridge"
MP:0012506	"brain atrophy"	UBERON:0000955	"brain"
MP:0009418	"cardiac muscle atrophy"	UBERON:0001133	"cardiac muscle tissue"
MP:0014185	"cerebellum atrophy"	UBERON:0002037	"cerebellum"
MP:0006175	"choroid atrophy"	UBERON:0001776	"optic choroid"
MP:0009359	"endometrium atrophy"	UBERON:0001295	"endometrium"
MP:0001221	"epidermal atrophy"	UBERON:0001003	"skin epidermis"
MP:0009164	"exocrine pancreas atrophy"	UBERON:0000017	"exocrine pancreas"
MP:0009201	"external male genitalia atrophy"	UBERON:0004053	"external male genitalia"
MP:0030140	"facial muscle atrophy"	UBERON:0001577	"facial muscle"
MP:0012508	"forebrain atrophy"	UBERON:0001890	"forebrain"
MP:0013567	"gastric gland atrophy"	UBERON:0000325	"gastric gland"
MP:0014184	"hindbrain atrophy"	UBERON:0002028	"hindbrain"
MP:0006228	"iris atrophy"	UBERON:0001769	"iris"
MP:0004970	"kidney atrophy"	UBERON:0002113	"kidney"
MP:0011844	"kidney collecting duct atrophy"	UBERON:0001232	"collecting duct of renal tubule"
MP:0011423	"kidney cortex atrophy"	UBERON:0001225	"cortex of kidney"
MP:0011422	"kidney medulla atrophy"	UBERON:0000362	"renal medulla"
MP:0011304	"kidney papillary atrophy"	UBERON:0001228	"renal papilla"
MP:0013455	"lacrimal gland atrophy"	UBERON:0001817	"lacrimal gland"
MP:0003776	"lip atrophy"	UBERON:0001833	"lip"
MP:0012507	"midbrain atrophy"	UBERON:0001891	"midbrain"
MP:0002269	"muscular atrophy"	UBERON:0001630	"muscle organ"
MP:0001059	"optic nerve atrophy"	UBERON:0000941	"cranial nerve II"
MP:0004833	"ovary atrophy"	UBERON:0000992	"ovary"
MP:0009064	"oviduct atrophy"	UBERON:0003889	"fallopian tube"
MP:0013295	"pancreas atrophy"	UBERON:0001264	"pancreas"
MP:0009150	"pancreatic acinar cell atrophy"	CL:0002064	"pancreatic acinar cell"
MP:0011363	"renal glomerulus atrophy"	UBERON:0000074	"renal glomerulus"
MP:0011346	"renal tubule atrophy"	UBERON:0001231	"nephron tubule"
MP:0005548	"retinal pigment epithelium atrophy"	UBERON:0001782	"pigmented layer of retina"
MP:0000649	"sebaceous gland atrophy"	UBERON:0001821	"sebaceous gland"
MP:0013319	"seminal vesicle atrophy"	UBERON:0000998	"seminal vesicle"
MP:0009417	"skeletal muscle atrophy"	UBERON:0001134	"skeletal muscle tissue"
MP:0009413	"skeletal muscle fiber atrophy"	CL:0000188	"cell of skeletal muscle"
MP:0030584	"skin atrophy"	UBERON:0000014	"zone of skin"
MP:0014078	"small intestinal villus atrophy"	UBERON:0001213	"intestinal villus"
MP:0003643	"spleen atrophy"	UBERON:0002106	"spleen"
MP:0003205	"testicular atrophy"	UBERON:0000473	"testis"
MP:0003644	"thymus atrophy"	UBERON:0002370	"thymus"
MP:0013585	"thymus cortex atrophy"	UBERON:0002123	"cortex of thymus"
MP:0013586	"thymus medulla atrophy"	UBERON:0002124	"medulla of thymus"
MP:0004894	"uterus atrophy"	UBERON:0000995	"uterus"
MP:0004895	"vagina atrophy"	UBERON:0000996	"vagina"
MP:0009212	"vulva atrophy"	UBERON:0000997	"mammalian vulva"
