defined_class	defined_class_label	entity	entity_label
MP:0010522	"calcified aorta"	UBERON:0000947	"aorta"
MP:0010524	"calcified aortic arch"	UBERON:0001508	"arch of aorta"
MP:0006116	"calcified aortic valve"	UBERON:0002137	"aortic valve"
MP:0006133	"calcified artery"	UBERON:0001637	"artery"
MP:0030014	"calcified brain"	UBERON:0000955	"brain"
MP:0004685	"calcified intervertebral disk"	UBERON:0001066	"intervertebral disk"
MP:0006209	"calcified intraocular region"	UBERON:0000019	"camera-type eye"
MP:0003200	"calcified joint"	UBERON:0000982	"skeletal joint"
MP:0006121	"calcified mitral valve"	UBERON:0002135	"mitral valve"
MP:0003199	"calcified muscle"	UBERON:0001630	"muscle organ"
MP:0014108	"calcified pancreas"	UBERON:0001264	"pancreas"
MP:0010923	"calcified pulmonary alveolus"	UBERON:0002299	"alveolus of lung"
MP:0006131	"calcified pulmonary valve"	UBERON:0002146	"pulmonary valve"
MP:0006188	"calcified retina"	UBERON:0000966	"retina"
MP:0003196	"calcified skin"	UBERON:0000014	"zone of skin"
MP:0003198	"calcified tendon"	UBERON:0000043	"tendon"
MP:0010523	"calcified thoracic aorta"	UBERON:0001515	"thoracic aorta"
MP:0006132	"calcified tricuspid valve"	UBERON:0002134	"tricuspid valve"
MP:0003197	"nephrocalcinosis"	UBERON:0002113	"kidney"
