defined_class	defined_class_label	entity	entity_label
MP:0000414	"alopecia"	UBERON:0001037	"strand of hair"
MP:0006138	"congestive heart failure"	GO:0060047	"heart contraction"
MP:0005017	"decreased B cell number"	CL:0000236	"B cell"
MP:0004978	"decreased B-1 B cell number"	CL:0000819	"B-1 B cell"
MP:0008168	"decreased B-1a cell number"	CL:0000820	"B-1a B cell"
MP:0008170	"decreased B-1b cell number"	CL:0000821	"B-1b B cell"
MP:0008207	"decreased B-2 B cell number"	CL:0000822	"B-2 B cell"
MP:0010169	"decreased CD4-positive, CD25-positive, alpha-beta regulatory T cell number"	CL:0000792	"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
MP:0008075	"decreased CD4-positive, alpha beta T cell number"	CL:0000624	"CD4-positive, alpha-beta T cell"
MP:0010836	"decreased CD4-positive, alpha-beta memory T cell number"	CL:0000897	"CD4-positive, alpha-beta memory T cell"
MP:0008359	"decreased CD4-positive, gamma-delta intraepithelial T cell number"	CL:0000803	"CD4-negative CD8-negative gamma-delta intraepithelial T cell"
MP:0008079	"decreased CD8-positive, alpha-beta T cell number"	CL:0000625	"CD8-positive, alpha-beta T cell"
MP:0010839	"decreased CD8-positive, alpha-beta memory T cell number"	CL:0000909	"CD8-positive, alpha-beta memory T cell"
MP:0008363	"decreased CD8-positive, gamma-delta intraepithelial T cell number"	CL:0000802	"CD8-alpha alpha positive, gamma-delta intraepithelial T cell"
MP:0013435	"decreased CD8-positive, naive alpha-beta T cell number"	CL:0000900	"naive thymus-derived CD8-positive, alpha-beta T cell"
MP:0008031	"decreased Cajal-Retzius cell number"	CL:0000695	"Cajal-Retzius cell"
MP:0010949	"decreased Clara cell number"	CL:0000158	"Clara cell"
MP:0008119	"decreased Langerhans cell number"	CL:0000453	"Langerhans cell"
MP:0008040	"decreased NK T cell number"	CL:0000814	"mature NK T cell"
MP:0008045	"decreased NK cell number"	CL:0000623	"natural killer cell"
MP:0009186	"decreased PP cell number"	CL:0000696	"PP cell"
MP:0013486	"decreased Paneth cell number"	CL:0000510	"paneth cell"
MP:0008133	"decreased Peyer's patch number"	UBERON:0001211	"Peyer's patch"
MP:0000880	"decreased Purkinje cell number"	CL:0000121	"Purkinje cell"
MP:0001107	"decreased Schwann cell number"	CL:0000218	"myelinating Schwann cell"
MP:0004075	"decreased Schwann cell precursor number"	CL:0002375	"Schwann cell precursor"
MP:0005018	"decreased T cell number"	CL:0000084	"T cell"
MP:0008087	"decreased T helper 1 cell number"	CL:0000545	"T-helper 1 cell"
MP:0008091	"decreased T-helper 2 cell number"	CL:0000546	"T-helper 2 cell"
MP:0013764	"decreased T-helper cell number"	CL:0000912	"helper T cell"
MP:0004893	"decreased adiponectin level"	PR:000003777	"adiponectin"
MP:0005128	"decreased adrenocorticotropin level"	CHEBI:3892	"corticotropin"
MP:0012765	"decreased alpha-beta T cell number"	CL:0000789	"alpha-beta T cell"
MP:0010890	"decreased alveolar lamellar body number"	GO:0097208	"alveolar lamellar body"
MP:0008106	"decreased amacrine cell number"	CL:0000561	"amacrine cell"
MP:0002607	"decreased basophil cell number"	CL:0000767	"basophil"
MP:0012338	"decreased bile salt level"	CHEBI:22868	"bile salt"
MP:0000333	"decreased bone marrow cell number"	CL:0002092	"bone marrow cell"
MP:0010830	"decreased bronchioalveolar stem cell number"	CL:0002638	"bronchioalveolar stem cell"
MP:0001780	"decreased brown adipose tissue amount"	UBERON:0001348	"brown adipose tissue"
MP:0009128	"decreased brown fat cell number"	CL:0000449	"brown fat cell"
MP:0030552	"decreased cementoblast number"	CL:0000061	"cementoblast"
MP:0010842	"decreased central memory CD4-positive, alpha-beta T cell number"	CL:0000904	"central memory CD4-positive, alpha-beta T cell"
MP:0010848	"decreased central memory CD8 positive, alpha-beta T cell number"	CL:0000907	"central memory CD8-positive, alpha-beta T cell"
MP:0020583	"decreased ceramide level"	CHEBI:17761	"ceramide"
MP:0008924	"decreased cerebellar granule cell number"	CL:0000120	"granule cell"
MP:0004646	"decreased cervical vertebrae number"	UBERON:0002413	"cervical vertebra"
MP:0003983	"decreased cholesterol level"	CHEBI:16113	"cholesterol"
MP:0000167	"decreased chondrocyte number"	CL:0000138	"chondrocyte"
MP:0004408	"decreased cochlear hair cell number"	CL:0000202	"auditory hair cell"
MP:0004396	"decreased cochlear inner hair cell number"	CL:0000589	"cochlear inner hair cell"
MP:0004402	"decreased cochlear outer hair cell number"	CL:0000601	"outer hair cell"
MP:0013893	"decreased common lymphocyte progenitor cell number"	CL:0000051	"common lymphoid progenitor"
MP:0008813	"decreased common myeloid progenitor cell number"	CL:0000049	"common myeloid progenitor"
MP:0002680	"decreased corpora lutea number"	UBERON:0003452	"trabecula carnea cardiac muscle tissue"
MP:0020576	"decreased corpus callosum cell number"	UBERON:0002336	"corpus callosum"
MP:0008341	"decreased corticotroph cell number"	CL:0000467	"adrenocorticotropic hormone secreting cell"
MP:0020281	"decreased creatine kinase level"	GO:0002185	"creatine kinase complex"
MP:0010062	"decreased creatine level"	CHEBI:16919	"creatine"
MP:0008127	"decreased dendritic cell number"	CL:0000451	"dendritic cell"
