defined_class	defined_class_label	molecular_entity	molecular_entity_label
MP:0004893	"decreased adiponectin level"	PR:000003777	"adiponectin"
MP:0005128	"decreased adrenocorticotropin level"	CHEBI:3892	"corticotropin"
MP:0012338	"decreased bile salt level"	CHEBI:22868	"bile salt"
MP:0020583	"decreased ceramide level"	CHEBI:17761	"ceramide"
MP:0003983	"decreased cholesterol level"	CHEBI:16113	"cholesterol"
MP:0010062	"decreased creatine level"	CHEBI:16919	"creatine"
MP:0005643	"decreased dopamine level"	CHEBI:18243	"dopamine"
MP:0011288	"decreased erythropoietin level"	PR:000007141	"erythropoietin"
MP:0005282	"decreased fatty acid level"	CHEBI:35366	"fatty acid"
MP:0005130	"decreased follicle stimulating hormone level"	CHEBI:81569	"Follicle stimulating hormone"
MP:0002868	"decreased glutamic acid decarboxylase level"	PR:000007785	"glutamate decarboxylase 1"
MP:0012604	"decreased glutathione level"	CHEBI:16856	"glutathione"
MP:0003440	"decreased glycerol level"	CHEBI:17754	"glycerol"
MP:0005439	"decreased glycogen level"	CHEBI:28087	"glycogen"
MP:0009817	"decreased leukotriene level"	CHEBI:25029	"leukotriene"
MP:0005132	"decreased luteinizing hormone level"	CHEBI:81568	"Luteinizing hormone"
MP:0013437	"decreased phytosterol level"	CHEBI:26125	"phytosterols"
MP:0011990	"decreased porphyrin level"	CHEBI:8337	"porphyrin"
MP:0005138	"decreased prolactin level"	PR:000013246	"prolactin"
MP:0020238	"decreased proline level"	CHEBI:26271	"proline"
MP:0009815	"decreased prostaglandin level"	CHEBI:26333	"prostaglandin"
MP:0005286	"decreased saturated fatty acid level"	CHEBI:26607	"saturated fatty acid"
MP:0010070	"decreased serotonin level"	CHEBI:28790	"serotonin"
MP:0020117	"decreased sphingosine level"	CHEBI:16393	"sphingosine"
MP:0012225	"decreased sterol level"	CHEBI:15889	"sterol"
MP:0020005	"decreased sulfoglycosphingolipid level"	CHEBI:36477	"sulfoglycosphingolipid"
MP:0005134	"decreased thyroid-stimulating hormone level"	CHEBI:81567	"thyroid stimulating hormone"
MP:0005471	"decreased thyroxine level"	CHEBI:30660	"thyroxine"
MP:0008838	"decreased transforming growth factor level"	PR:000000046	"TGF-beta"
MP:0005318	"decreased triglyceride level"	CHEBI:17855	"triglyceride"
MP:0005473	"decreased triiodothyronine level"	CHEBI:18258	"3,3',5-triiodo-L-thyronine"
MP:0005285	"decreased unsaturated fatty acid level"	CHEBI:27208	"unsaturated fatty acid"
MP:0012336	"decreased vitamin D level"	CHEBI:27300	"vitamin D"
MP:0003032	"hypocapnia"	CHEBI:16526	"carbon dioxide"
