defined_class	defined_class_label	location	location_label	molecular_entity	molecular_entity_label
MP:0003907	"decreased aorta elastin content"	UBERON:0000947	"aorta"	PR:000007034	"elastin"
MP:0005566	"decreased blood urea nitrogen level"	UBERON:0000178	"blood"	CHEBI:16199	"urea"
MP:0008822	"decreased blood uric acid level"	UBERON:0000178	"blood"	CHEBI:27226	"uric acid"
MP:0010161	"decreased brain cholesterol level"	UBERON:0000955	"brain"	CHEBI:16113	"cholesterol"
MP:0014075	"decreased brain glycogen level"	UBERON:0000955	"brain"	CHEBI:28087	"glycogen"
MP:0012227	"decreased brain sterol level"	UBERON:0000955	"brain"	CHEBI:15889	"sterol"
MP:0020007	"decreased brain sulfoglycosphingolipid level"	UBERON:0000955	"brain"	CHEBI:36477	"sulfoglycosphingolipid"
MP:0014072	"decreased cardiac muscle glycogen level"	UBERON:0001133	"cardiac muscle tissue"	CHEBI:28087	"glycogen"
MP:0000186	"decreased circulating HDL cholesterol level"	UBERON:0000178	"blood"	CHEBI:47775	"high-density lipoprotein cholesterol"
MP:0000183	"decreased circulating LDL cholesterol level"	UBERON:0000178	"blood"	CHEBI:47774	"low-density lipoprotein cholesterol"
MP:0005146	"decreased circulating VLDL cholesterol level"	UBERON:0000178	"blood"	CHEBI:47773	"very-low-density lipoprotein cholesterol"
MP:0003976	"decreased circulating VLDL triglyceride level"	UBERON:0000178	"blood"	CHEBI:47776	"very-low-density lipoprotein triglyceride"
MP:0005661	"decreased circulating adrenaline level"	UBERON:0000178	"blood"	CHEBI:33568	"adrenaline"
MP:0002664	"decreased circulating adrenocorticotropin level"	UBERON:0000178	"blood"	CHEBI:3892	"corticotropin"
MP:0002667	"decreased circulating aldosterone level"	UBERON:0000178	"blood"	CHEBI:27584	"aldosterone"
MP:0002966	"decreased circulating alkaline phosphatase level"	UBERON:0000178	"blood"	PR:000003968	"alkaline phosphatase, tissue-nonspecific isozyme"
MP:0030565	"decreased circulating ammonia level"	UBERON:0000178	"blood"	CHEBI:16134	"ammonia"
MP:0006376	"decreased circulating angiotensinogen level"	UBERON:0000178	"blood"	PR:000036009	"angiotensin II"
MP:0005611	"decreased circulating antidiuretic hormone level"	UBERON:0000178	"blood"	CHEBI:9937	"vasopressin"
MP:0005523	"decreased circulating atrial natriuretic factor"	UBERON:0000178	"blood"	PR:000011374	"atrial natriuretic factor"
MP:0003017	"decreased circulating bicarbonate level"	UBERON:0000178	"blood"	CHEBI:17544	"hydrogencarbonate"
MP:0005635	"decreased circulating bilirubin level"	UBERON:0000178	"blood"	CHEBI:16990	"bilirubin"
MP:0003978	"decreased circulating carnitine level"	UBERON:0000178	"blood"	CHEBI:17126	"carnitine"
MP:0003020	"decreased circulating chloride level"	UBERON:0000178	"blood"	CHEBI:17996	"chloride"
MP:0005179	"decreased circulating cholesterol level"	UBERON:0000178	"blood"	CHEBI:16113	"cholesterol"
MP:0020837	"decreased circulating citrulline level"	UBERON:0000178	"blood"	CHEBI:18211	"citrulline"
MP:0006349	"decreased circulating copper level"	UBERON:0000178	"blood"	CHEBI:30052	"copper(0)"
MP:0002665	"decreased circulating corticosterone level"	UBERON:0000178	"blood"	CHEBI:16827	"corticosterone"
MP:0010065	"decreased circulating creatine level"	UBERON:0000178	"blood"	CHEBI:16919	"creatine"
MP:0005554	"decreased circulating creatinine level"	UBERON:0000178	"blood"	CHEBI:16737	"creatinine"
MP:0003510	"decreased circulating dihydrotestosterone level"	UBERON:0000178	"blood"	CHEBI:16330	"17beta-hydroxy-5alpha-androstan-3-one"
MP:0011286	"decreased circulating erythropoietin level"	UBERON:0000178	"blood"	PR:000007141	"erythropoietin"
MP:0005181	"decreased circulating estradiol level"	UBERON:0000178	"blood"	CHEBI:23965	"estradiol"
MP:0002790	"decreased circulating follicle stimulating hormone level"	UBERON:0000178	"blood"	CHEBI:81569	"Follicle stimulating hormone"
MP:0002702	"decreased circulating free fatty acid level"	UBERON:0000178	"blood"	CHEBI:35366	"fatty acid"
MP:0010088	"decreased circulating fructosamine level"	UBERON:0000178	"blood"	CHEBI:24103	"fructosamine"
MP:0004732	"decreased circulating gastrin level"	UBERON:0000178	"blood"	PR:000007856	"gastrin"
MP:0011613	"decreased circulating ghrelin level"	UBERON:0000178	"blood"	CHEBI:75431	"ghrelin"
MP:0002696	"decreased circulating glucagon level"	UBERON:0000178	"blood"	PR:000007891	"glucagon"
MP:0003368	"decreased circulating glucocorticoid level"	UBERON:0000178	"blood"	CHEBI:24261	"glucocorticoid"
MP:0005560	"decreased circulating glucose level"	UBERON:0000178	"blood"	CHEBI:17234	"glucose"
MP:0011010	"decreased circulating glutamate dehydrogenase level"	UBERON:0000178	"blood"	PR:000008056	"glutamate dehydrogenase 1, mitochondrial"
MP:0003442	"decreased circulating glycerol level"	UBERON:0000178	"blood"	CHEBI:17754	"glycerol"
MP:0011653	"decreased circulating histidine level"	UBERON:0000178	"blood"	CHEBI:27570	"histidine"
MP:0012334	"decreased circulating homocysteine level"	UBERON:0000178	"blood"	CHEBI:17230	"homocysteine"
MP:0002727	"decreased circulating insulin level"	UBERON:0000178	"blood"	PR:000009054	"insulin"
MP:0004701	"decreased circulating insulin-like growth factor I level"	UBERON:0000178	"blood"	PR:000009182	"insulin-like growth factor I"
MP:0008576	"decreased circulating interferon-beta level"	UBERON:0000178	"blood"	PR:000008924	"interferon beta 1"
MP:0008578	"decreased circulating interferon-gamma level"	UBERON:0000178	"blood"	PR:000000017	"interferon gamma"
MP:0008639	"decreased circulating interleukin-1 alpha level"	UBERON:0000178	"blood"	PR:000001135	"interleukin-1 alpha"
MP:0008642	"decreased circulating interleukin-1 beta level"	UBERON:0000178	"blood"	PR:000001136	"interleukin-1 beta"
MP:0008592	"decreased circulating interleukin-1 level"	UBERON:0000178	"blood"	PR:000001091	"interleukin-1"
