defined_class	defined_class_label	molecular_function	molecular_function_label
MP:0012644	"decreased 5-aminolevulinate synthase activity"	GO:0003870	"5-aminolevulinate synthase activity"
MP:0020447	"decreased NAD(P)H oxidase activity"	GO:0016174	"NAD(P)H oxidase activity"
MP:0012624	"decreased acetylcholinesterase activity"	GO:0003990	"acetylcholinesterase activity"
MP:0011585	"decreased alkaline phosphatase activity"	GO:0004035	"alkaline phosphatase activity"
MP:0011594	"decreased catalase activity"	GO:0004096	"catalase activity"
MP:0012585	"decreased catechol O-methyltransferase activity"	GO:0016206	"catechol O-methyltransferase activity"
MP:0012590	"decreased choline O-acetyltransferase activity"	GO:0004102	"choline O-acetyltransferase activity"
MP:0020034	"decreased cholinesterase activity"	GO:0004104	"cholinesterase activity"
MP:0020308	"decreased creatine kinase activity"	GO:0004111	"creatine kinase activity"
MP:0011606	"decreased glucokinase activity"	GO:0004340	"glucokinase activity"
MP:0012595	"decreased glutamate decarboxylase activity"	GO:0004351	"glutamate decarboxylase activity"
MP:0011603	"decreased glutathione peroxidase activity"	GO:0004602	"glutathione peroxidase activity"
MP:0011609	"decreased glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity"	GO:0004365	"glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity"
MP:0020311	"decreased hydroxymethylbilane synthase activity"	GO:0004418	"hydroxymethylbilane synthase activity"
MP:0011579	"decreased lipoprotein lipase activity"	GO:0004465	"lipoprotein lipase activity"
MP:0012636	"decreased monoamine oxidase activity"	GO:0097621	"monoamine oxidase activity"
MP:0012598	"decreased nicotinamide N-methyltransferase activity"	GO:0008112	"nicotinamide N-methyltransferase activity"
MP:0011588	"decreased ornithine carbamoyltransferase activity"	GO:0004585	"ornithine carbamoyltransferase activity"
MP:0020314	"decreased palmitoyl-(protein) hydrolase activity"	GO:0008474	"palmitoyl-(protein) hydrolase activity"
MP:0012580	"decreased peroxidase activity"	GO:0004601	"peroxidase activity"
MP:0020019	"decreased phenylalanine decarboxylase activity"	GO:0050174	"phenylalanine decarboxylase activity"
MP:0011600	"decreased phosphatidylcholine-sterol O-acyltransferase activity"	GO:0004607	"phosphatidylcholine-sterol O-acyltransferase activity"
MP:0020052	"decreased procollagen-proline 4-dioxygenase activity"	GO:0004656	"procollagen-proline 4-dioxygenase activity"
MP:0020228	"decreased proline oxidase activity"	GO:0051699	"proline oxidase activity"
MP:0011597	"decreased purine-nucleoside phosphorylase activity"	GO:0004731	"purine-nucleoside phosphorylase activity"
MP:0020245	"decreased pyruvate kinase activity"	GO:0004743	"pyruvate kinase activity"
MP:0020064	"decreased thiopurine S-methyltransferase activity"	GO:0008119	"thiopurine S-methyltransferase activity"
MP:0011582	"decreased triglyceride lipase activity"	GO:0004806	"triglyceride lipase activity"
MP:0020077	"decreased tyrosine 3-monooxygenase activity"	GO:0004511	"tyrosine 3-monooxygenase activity"
MP:0020046	"decreased tyrosine aminotransferase activity"	GO:0070547	"L-tyrosine aminotransferase activity"
