defined_class	defined_class_label	entity	entity_label
MP:0002772	"brachypodia"	UBERON:0002387	"pes"
MP:0012480	"decreased amygdala size"	UBERON:0001876	"amygdala"
MP:0008226	"decreased anterior commissure size"	UBERON:0000935	"anterior commissure"
MP:0000868	"decreased anterior vermis size"	UBERON:0003941	"cerebellum anterior vermis"
MP:0020435	"decreased astrocyte size"	CL:0000127	"astrocyte"
MP:0000301	"decreased atrioventricular cushion size"	UBERON:0002062	"endocardial cushion"
MP:0012272	"decreased axial mesoderm size"	UBERON:0003068	"axial mesoderm"
MP:0001265	"decreased body size"	UBERON:0000468	"multicellular organism"
MP:0020141	"decreased brain external capsule size"	UBERON:0004545	"external capsule of telencephalon"
MP:0012462	"decreased brain internal capsule size"	UBERON:0001887	"internal capsule of telencephalon"
MP:0000774	"decreased brain size"	UBERON:0000955	"brain"
MP:0009136	"decreased brown fat cell size"	CL:0000449	"brown fat cell"
MP:0012488	"decreased cerebellum dentate nucleus size"	UBERON:0002132	"dentate nucleus"
MP:0020540	"decreased cerebellum fastigial nucleus size"	UBERON:0002153	"fastigial nucleus"
MP:0012472	"decreased cerebellum interpositus nucleus size"	UBERON:0004073	"cerebellum interpositus nucleus"
MP:0012474	"decreased cingulate cortex size"	UBERON:0003027	"cingulate cortex"
MP:0012486	"decreased cochlear VIII nucleus size"	UBERON:0001720	"cochlear nucleus"
MP:0000900	"decreased colliculi size"	UBERON:0002259	"corpora quadrigemina"
MP:0000781	"decreased corpus callosum size"	UBERON:0002336	"corpus callosum"
MP:0012484	"decreased corticospinal tract size"	UBERON:0002707	"corticospinal tract"
MP:0008427	"decreased corticotroph cell size"	CL:0000467	"adrenocorticotropic hormone secreting cell"
MP:0012460	"decreased dentate gyrus size"	UBERON:0001885	"dentate gyrus of hippocampal formation"
MP:0001698	"decreased embryo size"	UBERON:0000922	"embryo"
MP:0009269	"decreased fat cell size"	CL:0000136	"fat cell"
MP:0004200	"decreased fetal size"	UBERON:0000323	"late embryo"
MP:0012138	"decreased forebrain size"	UBERON:0001890	"forebrain"
MP:0012470	"decreased genu of the facial nerve size"	UBERON:0014915	"genu of facial nerve"
MP:0008425	"decreased gonadotroph cell size"	CL:0000437	"gonadtroph"
MP:0012482	"decreased habenula size"	UBERON:0001904	"habenula"
MP:0010580	"decreased heart left ventricle size"	UBERON:0002084	"heart left ventricle"
MP:0003649	"decreased heart right ventricle size"	UBERON:0002080	"heart right ventricle"
MP:0012263	"decreased hindbrain size"	UBERON:0002028	"hindbrain"
MP:0008222	"decreased hippocampal commissure size"	UBERON:0000908	"hippocampal commissure"
MP:0012466	"decreased hippocampal fimbria size"	UBERON:0002310	"hippocampus fimbria"
MP:0020545	"decreased hippocampal fornix size"	UBERON:0000052	"fornix of brain"
MP:0008423	"decreased lactotroph cell size"	CL:0000439	"prolactin secreting cell"
MP:0003162	"decreased lateral semicircular canal size"	UBERON:0001843	"lateral semicircular canal"
MP:0009897	"decreased maxillary shelf size"	UBERON:0005871	"palatine process of maxilla"
MP:0008935	"decreased mean platelet volume"	CL:0000233	"platelet"
MP:0012089	"decreased midbrain size"	UBERON:0001891	"midbrain"
MP:0011631	"decreased mitochondria size"	GO:0005739	"mitochondrion"
MP:0003038	"decreased myocardial infarction size"	MPATH:124	"infarct"
MP:0020069	"decreased neocortex size"	UBERON:0001950	"neocortex"
MP:0013713	"decreased nipple size"	UBERON:0002030	"nipple"
MP:0020548	"decreased optic chiasm size"	UBERON:0000959	"optic chiasma"
MP:0012464	"decreased optic tract size"	UBERON:0001908	"optic tract"
MP:0009895	"decreased palatine bone horizontal plate size"	UBERON:0018242	"palatine bone horizontal plate"
MP:0009149	"decreased pancreatic acinar cell number"	CL:0000622	"acinar cell"
MP:0012183	"decreased paraxial mesoderm size"	UBERON:0003077	"paraxial mesoderm"
MP:0012476	"decreased piriform cortex size"	UBERON:0004725	"piriform cortex"
MP:0011521	"decreased placental labyrinth size"	UBERON:0003946	"placenta labyrinth"
MP:0020533	"decreased pons size"	UBERON:0000988	"pons"
MP:0020562	"decreased pontine nuclei size"	UBERON:0002151	"pontine nuclear group"
MP:0020566	"decreased pontocerebellar fibers size"	UBERON:0022421	"pontocerebellar tract"
MP:0003164	"decreased posterior semicircular canal size"	UBERON:0001842	"posterior semicircular canal"
MP:0020570	"decreased premotor cortex size"	UBERON:0016634	"premotor cortex"
MP:0012450	"decreased primary motor cortex size"	UBERON:0001384	"primary motor cortex"
