defined_class	defined_class_label	entity	entity_label
MP:0004628	"Deiters cell degeneration"	CL:0000635	"Deiter's cell"
MP:0014154	"Meibomian gland degeneration"	UBERON:0001818	"tarsal gland"
MP:0000876	"Purkinje cell degeneration"	CL:0000121	"Purkinje cell"
MP:0009074	"Wolffian duct degeneration"	UBERON:0003074	"mesonephric duct"
MP:0008103	"amacrine cell degeneration"	CL:0000561	"amacrine cell"
MP:0000129	"ameloblast degeneration"	CL:0000059	"ameloblast"
MP:0005405	"axon degeneration"	GO:0030424	"axon"
MP:0009416	"cardiac muscle degeneration"	UBERON:0002349	"myocardium"
MP:0004709	"cervical vertebrae degeneration"	UBERON:0002413	"cervical vertebra"
MP:0006176	"choroid degeneration"	UBERON:0001776	"optic choroid"
MP:0000032	"cochlear degeneration"	UBERON:0001844	"cochlea"
MP:0002857	"cochlear ganglion degeneration"	UBERON:0000395	"cochlear ganglion"
MP:0004362	"cochlear hair cell degeneration"	CL:0000202	"auditory hair cell"
MP:0004398	"cochlear inner hair cell degeneration"	CL:0000589	"cochlear inner hair cell"
MP:0004404	"cochlear outer hair cell degeneration"	CL:0000601	"outer hair cell"
MP:0012351	"cornea degeneration"	UBERON:0000964	"cornea"
MP:0000127	"degenerate molars"	UBERON:0003655	"molar tooth"
MP:0004465	"degeneration of organ of Corti supporting cells"	CL:0002490	"organ of Corti supporting cell"
MP:0008492	"dorsal root ganglion degeneration"	UBERON:0000044	"dorsal root ganglion"
MP:0004935	"epididymis degeneration"	UBERON:0001301	"epididymis"
MP:0004934	"epididymis epithelium degeneration"	UBERON:0004544	"epididymis epithelium"
MP:0030142	"facial muscle degeneration"	UBERON:0001577	"facial muscle"
MP:0013568	"gastric gland degeneration"	UBERON:0000325	"gastric gland"
MP:0003413	"hair follicle degeneration"	UBERON:0002073	"hair follicle"
MP:0005648	"heart right ventricle degeneration"	UBERON:0002080	"heart right ventricle"
MP:0000811	"hippocampal neuron degeneration"	CL:0002608	"hippocampal neuron"
MP:0004965	"inner cell mass degeneration"	UBERON:0000087	"inner cell mass"
MP:0004684	"intervertebral disk degeneration"	UBERON:0001066	"intervertebral disk"
MP:0009641	"kidney degeneration"	UBERON:0002113	"kidney"
MP:0014148	"lacrimal gland degeneration"	UBERON:0001817	"lacrimal gland"
MP:0003103	"liver degeneration"	UBERON:0002107	"liver"
MP:0011430	"mesangiolysis"	CL:0000650	"mesangial cell"
MP:0000938	"motor neuron degeneration"	CL:0000100	"motor neuron"
MP:0000749	"muscle degeneration"	UBERON:0001630	"muscle organ"
MP:0004566	"myocardial fiber degeneration"	CL:0000746	"cardiac muscle cell"
MP:0013581	"nasal gland degeneration"	UBERON:0012278	"gland of nasal mucosa"
MP:0012509	"neural tube degeneration"	UBERON:0001049	"neural tube"
MP:0002229	"neurodegeneration"	UBERON:0001016	"nervous system"
MP:0003224	"neuron degeneration"	CL:0000540	"neuron"
MP:0009093	"oocyte degeneration"	CL:0000023	"oocyte"
MP:0006219	"optic nerve degeneration"	UBERON:0000941	"cranial nerve II"
MP:0012169	"optic placode degeneration"	UBERON:0003073	"lens placode"
MP:0000043	"organ of Corti degeneration"	UBERON:0002227	"spiral organ of cochlea"
MP:0013236	"ovary degeneration"	UBERON:0000992	"ovary"
MP:0013584	"pancreas degeneration"	UBERON:0001264	"pancreas"
MP:0000958	"peripheral nervous system degeneration"	UBERON:0000010	"peripheral nervous system"
MP:0008580	"photoreceptor inner segment degeneration"	GO:0001917	"photoreceptor inner segment"
MP:0008584	"photoreceptor outer segment degeneration"	GO:0001750	"photoreceptor outer segment"
MP:0004586	"pillar cell degeneration"	CL:1000191	"pillar cell"
MP:0008444	"retinal cone cell degeneration"	CL:0000573	"retinal cone cell"
MP:0001326	"retinal degeneration"	UBERON:0000966	"retina"
MP:0008067	"retinal ganglion cell degeneration"	CL:0000740	"retinal ganglion cell"
MP:0020038	"retinal macular degeneration"	UBERON:0000053	"macula lutea"
MP:0008450	"retinal photoreceptor degeneration"	CL:0000287	"eye photoreceptor cell"
MP:0008451	"retinal rod cell degeneration"	CL:0000604	"retinal rod cell"
MP:0013583	"salivary gland degeneration"	UBERON:0001044	"saliva-secreting gland"
MP:0013900	"seminal vesicle epithelium degeneration"	UBERON:0004805	"seminal vesicle epithelium"
MP:0001154	"seminiferous tubule degeneration"	UBERON:0001343	"seminiferous tubule of testis"
MP:0009415	"skeletal muscle degeneration"	UBERON:0001134	"skeletal muscle tissue"
MP:0009412	"skeletal muscle fiber degeneration"	CL:0000188	"cell of skeletal muscle"
MP:0012712	"spinal cord degeneration"	UBERON:0002240	"spinal cord"
MP:0004864	"spiral ligament degeneration"	UBERON:0006725	"spiral ligament"
