defined_class	defined_class_label	entity	entity_label
MP:0000060	"delayed bone ossification"	GO:0001503	"ossification"
MP:0000054	"delayed ear emergence"	GO:0060186	"outer ear emergence"
MP:0009649	"delayed embryo implantation"	GO:0007566	"embryo implantation"
MP:0003419	"delayed endochondral bone ossification"	GO:0001958	"endochondral ossification"
MP:0009008	"delayed estrous cycle"	GO:0060209	"estrus"
MP:0005411	"delayed fertilization"	GO:0009566	"fertilization"
MP:0000422	"delayed hair appearance"	GO:0042640	"anagen"
MP:0012177	"delayed head development"	GO:0060322	"head development"
MP:0004664	"delayed inner ear development"	GO:0048839	"inner ear development"
MP:0003420	"delayed intramembranous bone ossification"	GO:0001957	"intramembranous ossification"
MP:0000528	"delayed kidney development"	GO:0001822	"kidney development"
MP:0001938	"delayed sexual maturation"	GO:0045136	"development of secondary sexual characteristics"
MP:0003794	"delayed somite formation"	GO:0061053	"somite development"
MP:0003053	"delayed tooth eruption"	GO:0044691	"tooth eruption"
MP:0002908	"delayed wound healing"	GO:0042060	"wound healing"
MP:0009854	"impaired gastric peristalsis"	GO:0035483	"gastric emptying"
MP:0003377	"late onset of menarche"	GO:0042696	"menarche"
MP:0003129	"persistent cloaca"	GO:0060197	"cloacal septation"
