defined_class	defined_class_label	behavior_process	behavior_process_label
MP:0002806	"abnormal conditioned emotional response"	NBO:0000221	"conditioned emotional response"
MP:0006299	"abnormal latent inhibition of conditioning behavior"	NBO:0000214	"latent learning behavior"
MP:0001358	"aggression towards inanimate objects"	NBO:0000112	"aggressive behavior towards inanimate objects"
MP:0009749	"enhanced behavioral response to addictive substance"	NBO:0001728	"behavioral response to addictive substance"
MP:0009751	"enhanced behavioral response to alcohol"	NBO:0001763	"behavioral response to alcohol"
MP:0009779	"enhanced behavioral response to anesthetic"	NBO:0002362	"behavioral response to anesthetic"
MP:0009754	"enhanced behavioral response to cocaine"	NBO:0001987	"behavioral response to cocaine"
MP:0009753	"enhanced behavioral response to morphine"	NBO:0002021	"behavioral response to morphine"
MP:0009752	"enhanced behavioral response to nicotine"	NBO:0002065	"behavioral response to nicotine"
MP:0009746	"enhanced behavioral response to xenobiotic"	NBO:0001679	"behavioral response to xenobiotics"
MP:0009713	"enhanced conditioned place preference behavior"	NBO:0000222	"conditioned place preference behavior"
MP:0009453	"enhanced contextual conditioning behavior"	NBO:0000223	"contextual conditioning behavior"
MP:0003858	"enhanced coordination"	NBO:0000339	"motor coordination"
MP:0003999	"enhanced passive avoidance behavior"	NBO:0000218	"passive avoidance learning behavior"
MP:0001412	"excessive scratching"	NBO:0000057	"scratching"
MP:0003239	"fast REM"	NBO:0000159	"rapid eye movement sleep"
MP:0005407	"hyperalgesia"	NBO:0000331	"nociceptive behavior"
MP:0002738	"hyperresponsive to tactile stimuli"	NBO:0000332	"touch related behavior"
MP:0009456	"impaired cued conditioning behavior"	NBO:0000224	"cued conditioning behavior"
MP:0002863	"improved righting response"	NBO:0000578	"righting reflex"
MP:0005655	"increased aggression"	NBO:0000015	"aggressive behavior"
MP:0001356	"increased aggression towards females"	NBO:0000111	"aggressive behavior towards female mice"
MP:0001357	"increased aggression towards humans"	NBO:0000104	"aggressive behavior towards humans"
MP:0001354	"increased aggression towards males"	NBO:0000110	"aggressive behavior towards male mice"
MP:0001353	"increased aggression towards mice"	NBO:0000107	"aggressive behavior towards mice"
MP:0003545	"increased alcohol consumption"	NBO:0000131	"alcohol consumption"
MP:0001363	"increased anxiety-related response"	NBO:0000092	"anxiety-related behavior"
MP:0008531	"increased chemical nociceptive threshold"	NBO:0000333	"chemical nociceptive behavior"
MP:0001981	"increased chemically-elicited antinociception"	NBO:0000336	"chemically-elicited antinociceptive behavior"
MP:0003063	"increased coping response"	NBO:0000103	"coping behavior"
MP:0001415	"increased exploration in new environment"	NBO:0000097	"response to novel environment"
MP:0003459	"increased fear-related response"	NBO:0000091	"fear-related behavior"
MP:0001441	"increased grooming behavior"	NBO:0000027	"grooming behavior"
MP:0001488	"increased startle reflex"	NBO:0000391	"startle reflex"
MP:0001973	"increased thermal nociceptive threshold"	NBO:0000335	"thermal nociceptive behavior"
MP:0002797	"increased thigmotaxis"	NBO:0000381	"thigmotaxis"
MP:0002574	"increased vertical activity"	NBO:0000448	"vertical activity"
