defined_class	defined_class_label	entity	entity_label
MP:0002776	"Sertoli cell hyperplasia"	CL:0000216	"Sertoli cell"
MP:0001874	"acanthosis"	MPATH:150	"acanthosis"
MP:0003342	"accessory spleen"	UBERON:0002106	"spleen"
MP:0008298	"adrenergic chromaffin cell hyperplasia"	CL:0002082	"type II cell of adrenal medulla"
MP:0011115	"airway basal cell hyperplasia"	CL:0002633	"respiratory basal cell"
MP:0003279	"aneurysm"	MPATH:90	"aneurysm"
MP:0005338	"atherosclerotic lesions"	MPATH:28	"atherosclerosis"
MP:0003255	"bile duct proliferation"	UBERON:0002394	"bile duct"
MP:0009275	"bruising"	MPATH:120	"ecchymosis"
MP:0005330	"cardiomyopathy"	MPATH:615	"cardiomyopathy"
MP:0013410	"decreased dendritic epidermal T cell number"	CL:0000916	"dendritic epidermal T cell"
MP:0009276	"ecchymosis"	MPATH:120	"ecchymosis"
MP:0020288	"ectopic limbs"	UBERON:0002101	"limb"
MP:0030419	"excessive cerumen"	UBERON:0002297	"cerumen"
MP:0000412	"excessive hair"	UBERON:0001037	"strand of hair"
MP:0002743	"glomerulonephritis"	MPATH:197	"glomerulonephritis"
MP:0008817	"hematoma"	MPATH:121	"hematoma"
MP:0001914	"hemorrhage"	MPATH:119	"hemorrhage and non-specified extravasation"
MP:0002318	"hypercapnia"	CHEBI:16526	"carbon dioxide"
MP:0013717	"hyperlactation"	GO:0007595	"lactation"
MP:0002319	"hyperoxia"	CHEBI:25805	"oxygen atom"
MP:0002023	"increased B cell derived lymphoma incidence"	MPATH:516	"B-cell neoplasms"
MP:0005014	"increased B cell number"	CL:0000236	"B cell"
MP:0004977	"increased B-1 B cell number"	CL:0000819	"B-1 B cell"
MP:0008206	"increased B-2 B cell number"	CL:0000822	"B-2 B cell"
MP:0008074	"increased CD4-positive, alpha beta T cell number"	CL:0000624	"CD4-positive, alpha-beta T cell"
MP:0010835	"increased CD4-positive, alpha-beta memory T cell number"	CL:0000897	"CD4-positive, alpha-beta memory T cell"
MP:0008358	"increased CD4-positive, gamma-delta intraepithelial T cell number"	CL:0000803	"CD4-negative CD8-negative gamma-delta intraepithelial T cell"
MP:0008078	"increased CD8-positive, alpha-beta T cell number"	CL:0000625	"CD8-positive, alpha-beta T cell"
MP:0010838	"increased CD8-positive, alpha-beta memory T cell number"	CL:0000909	"CD8-positive, alpha-beta memory T cell"
MP:0008362	"increased CD8-positive, gamma-delta intraepithelial T cell number"	CL:0000802	"CD8-alpha alpha positive, gamma-delta intraepithelial T cell"
MP:0013436	"increased CD8-positive, naive alpha-beta T cell number"	CL:0000900	"naive thymus-derived CD8-positive, alpha-beta T cell"
MP:0004840	"increased Deiters cell number"	CL:0000635	"Deiter's cell"
MP:0013412	"increased Langerhans cell number"	CL:0000453	"Langerhans cell"
MP:0000986	"increased Merkel's receptor number"	CL:0000242	"Merkel cell"
MP:0008039	"increased NK T cell number"	CL:0000814	"mature NK T cell"
MP:0008044	"increased NK cell number"	CL:0000623	"natural killer cell"
MP:0009185	"increased PP cell number"	CL:0000696	"PP cell"
MP:0013485	"increased Paneth cell number"	CL:0000510	"paneth cell"
MP:0008132	"increased Peyer's patch number"	UBERON:0001211	"Peyer's patch"
MP:0000879	"increased Purkinje cell number"	CL:0000121	"Purkinje cell"
MP:0010742	"increased Schwann cell number"	CL:0002573	"Schwann cell"
MP:0010310	"increased Schwannoma incidence"	MPATH:438	"schwannoma"
MP:0002024	"increased T cell derived lymphoma incidence"	MPATH:535	"T-cell neoplasms"
MP:0005015	"increased T cell number"	CL:0000084	"T cell"
MP:0013763	"increased T-helper cell number"	CL:0000912	"helper T cell"
MP:0010383	"increased adenoma incidence"	DOID:657	"adenoma"
MP:0004892	"increased adiponectin level"	PR:000003777	"adiponectin"
MP:0005129	"increased adrenocorticotropin level"	CHEBI:3892	"corticotropin"
MP:0012764	"increased alpha-beta T cell number"	CL:0000789	"alpha-beta T cell"
MP:0010891	"increased alveolar lamellar body number"	GO:0097208	"alveolar lamellar body"
MP:0008105	"increased amacrine cell number"	CL:0000561	"amacrine cell"
MP:0010277	"increased astrocytoma incidence"	MPATH:244	"astrocytoma"
MP:0004208	"increased basal cell carcinoma incidence"	MPATH:234	"basal cell carcinoma"
MP:0002606	"increased basophil cell number"	CL:0000767	"basophil"
MP:0004789	"increased bile salt level"	CHEBI:22868	"bile salt"
MP:0010829	"increased bronchioalveolar stem cell number"	CL:0002638	"bronchioalveolar stem cell"
MP:0000005	"increased brown adipose tissue amount"	UBERON:0001348	"brown adipose tissue"
MP:0003707	"increased cell nucleus count"	GO:0005634	"nucleus"
MP:0030553	"increased cementoblast number"	CL:0000061	"cementoblast"
MP:0010841	"increased central memory CD4-positive, alpha-beta T cell number"	CL:0000904	"central memory CD4-positive, alpha-beta T cell"
MP:0010847	"increased central memory CD8 positive, alpha-beta T cell number"	CL:0000907	"central memory CD8-positive, alpha-beta T cell"
MP:0020582	"increased ceramide level"	CHEBI:17761	"ceramide"
MP:0010315	"increased cholangiocarcinoma incidence"	MPATH:354	"cholangiocarcinoma"
MP:0003982	"increased cholesterol level"	CHEBI:16113	"cholesterol"
MP:0011692	"increased chondrocyte number"	CL:0000138	"chondrocyte"
MP:0010337	"increased chronic lymphocytic leukemia incidence"	DOID:1040	"chronic lymphocytic leukemia"
MP:0004407	"increased cochlear hair cell number"	CL:0000202	"auditory hair cell"
MP:0004395	"increased cochlear inner hair cell number"	CL:0000589	"cochlear inner hair cell"
MP:0004401	"increased cochlear outer hair cell number"	CL:0000601	"outer hair cell"
MP:0013892	"increased common lymphocyte progenitor cell number"	CL:0000051	"common lymphoid progenitor"
MP:0013891	"increased common myeloid progenitor cell number"	CL:0000049	"common myeloid progenitor"
MP:0002681	"increased corpora lutea number"	UBERON:0003452	"trabecula carnea cardiac muscle tissue"
MP:0020575	"increased corpus callosum cell number"	UBERON:0002336	"corpus callosum"
MP:0008340	"increased corticotroph cell number"	CL:0000467	"adrenocorticotropic hormone secreting cell"
MP:0020280	"increased creatine kinase level"	GO:0002185	"creatine kinase complex"
MP:0010061	"increased creatine level"	CHEBI:16919	"creatine"
MP:0010322	"increased cutaneous melanoma incidence"	DOID:8923	"skin melanoma"
MP:0013751	"increased cystadenoma incidence"	MPATH:277	"cystadenoma"
MP:0008126	"increased dendritic cell number"	CL:0000451	"dendritic cell"
MP:0010338	"increased desmoid tumor incidence"	MPATH:723	"fibromatosis"
MP:0001906	"increased dopamine level"	CHEBI:18243	"dopamine"
MP:0011449	"increased dopaminergic neuron number"	CL:0000700	"dopaminergic neuron"
MP:0005090	"increased double-negative T cell number"	CL:0002489	"double negative thymocyte"
MP:0005091	"increased double-positive T cell number"	CL:0000809	"double-positive, alpha-beta thymocyte"
MP:0003133	"increased early pro-B cell number"	CL:0002046	"early pro-B cell"
MP:0013457	"increased eccrine gland number"	UBERON:0000423	"eccrine sweat gland"
MP:0010844	"increased effector memory CD4-positive, alpha-beta T cell number"	CL:0000905	"effector memory CD4-positive, alpha-beta T cell"
MP:0010850	"increased effector memory CD8-positive, alpha-beta T cell number"	CL:0000913	"effector memory CD8-positive, alpha-beta T cell"
MP:0013401	"increased endometrial gland number"	UBERON:0002451	"endometrial gland"
MP:0000328	"increased enterocyte cell number"	CL:0000584	"enterocyte"
MP:0005011	"increased eosinophil cell number"	CL:0000771	"eosinophil"
MP:0011686	"increased epidermal stem cell number"	CL:1000428	"stem cell of epidermis"
MP:0011178	"increased erythroblast number"	CL:0000765	"erythroblast"
MP:0003131	"increased erythrocyte cell number"	CL:0000232	"erythrocyte"
MP:0003135	"increased erythroid progenitor cell number"	CL:0000038	"erythroid progenitor cell"
MP:0011287	"increased erythropoietin level"	PR:000007141	"erythropoietin"
MP:0005281	"increased fatty acid level"	CHEBI:35366	"fatty acid"
MP:0011242	"increased fetal derived definitive erythrocyte cell number"	CL:0002357	"fetal derived definitive erythrocyte"
MP:0010364	"increased fibroadenoma incidence"	MPATH:266	"fibroadenoma"
MP:0003580	"increased fibroma incidence"	MPATH:407	"fibroma"
MP:0010363	"increased fibrosarcoma incidence"	MPATH:408	"soft tissue fibrosarcoma"
MP:0005131	"increased follicle stimulating hormone level"	CHEBI:81569	"Follicle stimulating hormone"
MP:0008173	"increased follicular B cell number"	CL:0000843	"follicular B cell"
MP:0008346	"increased gamma-delta T cell number"	CL:0000798	"gamma-delta T cell"
MP:0008350	"increased gamma-delta intraepithelial T cell number"	CL:0000801	"gamma-delta intraepithelial T cell"
MP:0010362	"increased ganglioneuroma incidence"	MPATH:375	"ganglioneuroma"
MP:0008177	"increased germinal center B cell number"	CL:0000844	"germinal center B cell"
MP:0010288	"increased gland tumor incidence"	MPATH:267	"glandular tumor"
MP:0010727	"increased glioblastoma incidence"	MPATH:564	"glioblastoma"
MP:0010278	"increased glioma incidence"	MPATH:249	"glioma"
MP:0002867	"increased glutamic acid decarboxylase level"	PR:000007785	"glutamate decarboxylase 1"
MP:0012606	"increased glutathione level"	CHEBI:16856	"glutathione"
