defined_class	defined_class_label	molecular_entity	molecular_entity_label
MP:0002318	"hypercapnia"	CHEBI:16526	"carbon dioxide"
MP:0004892	"increased adiponectin level"	PR:000003777	"adiponectin"
MP:0005129	"increased adrenocorticotropin level"	CHEBI:3892	"corticotropin"
MP:0004789	"increased bile salt level"	CHEBI:22868	"bile salt"
MP:0020582	"increased ceramide level"	CHEBI:17761	"ceramide"
MP:0003982	"increased cholesterol level"	CHEBI:16113	"cholesterol"
MP:0010061	"increased creatine level"	CHEBI:16919	"creatine"
MP:0001906	"increased dopamine level"	CHEBI:18243	"dopamine"
MP:0011287	"increased erythropoietin level"	PR:000007141	"erythropoietin"
MP:0005281	"increased fatty acid level"	CHEBI:35366	"fatty acid"
MP:0005131	"increased follicle stimulating hormone level"	CHEBI:81569	"Follicle stimulating hormone"
MP:0002867	"increased glutamic acid decarboxylase level"	PR:000007785	"glutamate decarboxylase 1"
MP:0012606	"increased glutathione level"	CHEBI:16856	"glutathione"
MP:0003441	"increased glycerol level"	CHEBI:17754	"glycerol"
MP:0005440	"increased glycogen level"	CHEBI:28087	"glycogen"
MP:0009816	"increased leukotriene level"	CHEBI:25029	"leukotriene"
MP:0005133	"increased luteinizing hormone level"	CHEBI:81568	"Luteinizing hormone"
MP:0010077	"increased phytosterol level"	CHEBI:26125	"phytosterols"
MP:0004147	"increased porphyrin level"	CHEBI:8337	"porphyrin"
MP:0005139	"increased prolactin level"	PR:000013246	"prolactin"
MP:0020237	"increased proline level"	CHEBI:26271	"proline"
MP:0009814	"increased prostaglandin level"	CHEBI:26333	"prostaglandin"
MP:0005284	"increased saturated fatty acid level"	CHEBI:26607	"saturated fatty acid"
MP:0010069	"increased serotonin level"	CHEBI:28790	"serotonin"
MP:0020116	"increased sphingosine level"	CHEBI:16393	"sphingosine"
MP:0012226	"increased sterol level"	CHEBI:15889	"sterol"
MP:0020006	"increased sulfoglycosphingolipid level"	CHEBI:36477	"sulfoglycosphingolipid"
MP:0005135	"increased thyroid-stimulating hormone level"	CHEBI:81567	"thyroid stimulating hormone"
MP:0005470	"increased thyroxine level"	CHEBI:30660	"thyroxine"
MP:0008837	"increased transforming growth factor level"	PR:000000046	"TGF-beta"
MP:0005317	"increased triglyceride level"	CHEBI:17855	"triglyceride"
MP:0005474	"increased triiodothyronine level"	CHEBI:18258	"3,3',5-triiodo-L-thyronine"
MP:0005283	"increased unsaturated fatty acid level"	CHEBI:27208	"unsaturated fatty acid"
MP:0012337	"increased vitamin D level"	CHEBI:27300	"vitamin D"
