defined_class	defined_class_label	location	location_label	molecular_entity	molecular_entity_label
MP:0003311	"aminoaciduria"	UBERON:0001088	"urine"	CHEBI:33709	"amino acid"
MP:0020401	"argininuria"	UBERON:0001088	"urine"	CHEBI:29016	"arginine"
MP:0020400	"cystinuria"	UBERON:0001088	"urine"	CHEBI:17376	"cystine"
MP:0002902	"decreased urine phosphate level"	UBERON:0001088	"urine"	CHEBI:26020	"phosphate"
MP:0002931	"glutaricadicuria"	UBERON:0001088	"urine"	CHEBI:18237	"glutamic acid"
MP:0013730	"glutathionuria"	UBERON:0001088	"urine"	CHEBI:16856	"glutathione"
MP:0000332	"hemoglobinemia"	UBERON:0001969	"blood plasma"	CHEBI:35143	"hemoglobin"
MP:0000315	"hemoglobinuria"	UBERON:0001088	"urine"	CHEBI:35143	"hemoglobin"
MP:0001548	"hyperlipidemia"	UBERON:0000178	"blood"	CHEBI:18059	"lipid"
MP:0002852	"hypersulfatemia"	UBERON:0000178	"blood"	CHEBI:16189	"sulfate"
MP:0020406	"hyperthreoninuria"	UBERON:0001088	"urine"	CHEBI:26986	"threonine"
MP:0003906	"increased aorta elastin content"	UBERON:0000947	"aorta"	PR:000007034	"elastin"
MP:0005565	"increased blood urea nitrogen level"	UBERON:0000178	"blood"	CHEBI:16199	"urea"
MP:0008821	"increased blood uric acid level"	UBERON:0000178	"blood"	CHEBI:27226	"uric acid"
MP:0010162	"increased brain cholesterol level"	UBERON:0000955	"brain"	CHEBI:16113	"cholesterol"
MP:0014074	"increased brain glycogen level"	UBERON:0000955	"brain"	CHEBI:28087	"glycogen"
MP:0012228	"increased brain sterol level"	UBERON:0000955	"brain"	CHEBI:15889	"sterol"
MP:0020008	"increased brain sulfoglycosphingolipid level"	UBERON:0000955	"brain"	CHEBI:36477	"sulfoglycosphingolipid"
MP:0014071	"increased cardiac muscle glycogen level"	UBERON:0001133	"cardiac muscle tissue"	CHEBI:28087	"glycogen"
MP:0001556	"increased circulating HDL cholesterol level"	UBERON:0000178	"blood"	CHEBI:47775	"high-density lipoprotein cholesterol"
MP:0000182	"increased circulating LDL cholesterol level"	UBERON:0000178	"blood"	CHEBI:47774	"low-density lipoprotein cholesterol"
MP:0005145	"increased circulating VLDL cholesterol level"	UBERON:0000178	"blood"	CHEBI:47773	"very-low-density lipoprotein cholesterol"
MP:0003975	"increased circulating VLDL triglyceride level"	UBERON:0000178	"blood"	CHEBI:47776	"very-low-density lipoprotein triglyceride"
MP:0005662	"increased circulating adrenaline level"	UBERON:0000178	"blood"	CHEBI:33568	"adrenaline"
MP:0001748	"increased circulating adrenocorticotropin level"	UBERON:0000178	"blood"	CHEBI:3892	"corticotropin"
MP:0002666	"increased circulating aldosterone level"	UBERON:0000178	"blood"	CHEBI:27584	"aldosterone"
MP:0002968	"increased circulating alkaline phosphatase level"	UBERON:0000178	"blood"	PR:000003968	"alkaline phosphatase, tissue-nonspecific isozyme"
MP:0005309	"increased circulating ammonia level"	UBERON:0000178	"blood"	CHEBI:16134	"ammonia"
MP:0006375	"increased circulating angiotensinogen level"	UBERON:0000178	"blood"	PR:000036009	"angiotensin II"
MP:0005610	"increased circulating antidiuretic hormone level"	UBERON:0000178	"blood"	CHEBI:9937	"vasopressin"
MP:0005343	"increased circulating aspartate transaminase level"	UBERON:0000178	"blood"	PR:000008153	"aspartate aminotransferase, cytoplasmic"
MP:0005522	"increased circulating atrial natriuretic factor"	UBERON:0000178	"blood"	PR:000011374	"atrial natriuretic factor"
MP:0003016	"increased circulating bicarbonate level"	UBERON:0000178	"blood"	CHEBI:17544	"hydrogencarbonate"
MP:0005344	"increased circulating bilirubin level"	UBERON:0000178	"blood"	CHEBI:16990	"bilirubin"
MP:0003979	"increased circulating carnitine level"	UBERON:0000178	"blood"	CHEBI:17126	"carnitine"
MP:0003019	"increased circulating chloride level"	UBERON:0000178	"blood"	CHEBI:17996	"chloride"
MP:0005178	"increased circulating cholesterol level"	UBERON:0000178	"blood"	CHEBI:16113	"cholesterol"
MP:0020836	"increased circulating citrulline level"	UBERON:0000178	"blood"	CHEBI:18211	"citrulline"
MP:0006350	"increased circulating copper level"	UBERON:0000178	"blood"	CHEBI:30052	"copper(0)"
MP:0001745	"increased circulating corticosterone level"	UBERON:0000178	"blood"	CHEBI:16827	"corticosterone"
MP:0001754	"increased circulating corticotropin-releasing hormone level"	UBERON:0000178	"blood"	PR:000005867	"corticoliberin"
MP:0010064	"increased circulating creatine level"	UBERON:0000178	"blood"	CHEBI:16919	"creatine"
MP:0005553	"increased circulating creatinine level"	UBERON:0000178	"blood"	CHEBI:16737	"creatinine"
MP:0003509	"increased circulating dihydrotestosterone level"	UBERON:0000178	"blood"	CHEBI:16330	"17beta-hydroxy-5alpha-androstan-3-one"
MP:0011285	"increased circulating erythropoietin level"	UBERON:0000178	"blood"	PR:000007141	"erythropoietin"
MP:0005182	"increased circulating estradiol level"	UBERON:0000178	"blood"	CHEBI:23965	"estradiol"
MP:0001750	"increased circulating follicle stimulating hormone level"	UBERON:0000178	"blood"	CHEBI:81569	"Follicle stimulating hormone"
MP:0001554	"increased circulating free fatty acid level"	UBERON:0000178	"blood"	CHEBI:35366	"fatty acid"
MP:0010087	"increased circulating fructosamine level"	UBERON:0000178	"blood"	CHEBI:24103	"fructosamine"
MP:0004731	"increased circulating gastrin level"	UBERON:0000178	"blood"	PR:000007856	"gastrin"
MP:0011612	"increased circulating ghrelin level"	UBERON:0000178	"blood"	CHEBI:75431	"ghrelin"
MP:0002712	"increased circulating glucagon level"	UBERON:0000178	"blood"	PR:000007891	"glucagon"
MP:0003367	"increased circulating glucocorticoid level"	UBERON:0000178	"blood"	CHEBI:24261	"glucocorticoid"
MP:0005559	"increased circulating glucose level"	UBERON:0000178	"blood"	CHEBI:17234	"glucose"
MP:0011009	"increased circulating glutamate dehydrogenase level"	UBERON:0000178	"blood"	PR:000008056	"glutamate dehydrogenase 1, mitochondrial"
MP:0003443	"increased circulating glycerol level"	UBERON:0000178	"blood"	CHEBI:17754	"glycerol"
MP:0011652	"increased circulating histidine level"	UBERON:0000178	"blood"	CHEBI:27570	"histidine"
MP:0012335	"increased circulating homocysteine level"	UBERON:0000178	"blood"	CHEBI:17230	"homocysteine"
MP:0002079	"increased circulating insulin level"	UBERON:0000178	"blood"	PR:000009054	"insulin"
MP:0004702	"increased circulating insulin-like growth factor I level"	UBERON:0000178	"blood"	PR:000009182	"insulin-like growth factor I"
MP:0008575	"increased circulating interferon-beta level"	UBERON:0000178	"blood"	PR:000008924	"interferon beta 1"
MP:0008577	"increased circulating interferon-gamma level"	UBERON:0000178	"blood"	PR:000000017	"interferon gamma"
MP:0008638	"increased circulating interleukin-1 alpha level"	UBERON:0000178	"blood"	PR:000001135	"interleukin-1 alpha"
MP:0008641	"increased circulating interleukin-1 beta level"	UBERON:0000178	"blood"	PR:000001136	"interleukin-1 beta"
MP:0008591	"increased circulating interleukin-1 level"	UBERON:0000178	"blood"	PR:000001091	"interleukin-1"
MP:0008593	"increased circulating interleukin-10 level"	UBERON:0000178	"blood"	PR:000001471	"interleukin-10"
MP:0008644	"increased circulating interleukin-12a level"	UBERON:0000178	"blood"	PR:000001368	"interleukin-12 subunit alpha"
MP:0008647	"increased circulating interleukin-12b level"	UBERON:0000178	"blood"	PR:000001369	"interleukin-12 subunit beta"
MP:0008608	"increased circulating interleukin-13 level"	UBERON:0000178	"blood"	PR:000001370	"interleukin-13"
MP:0008611	"increased circulating interleukin-15 level"	UBERON:0000178	"blood"	PR:000001373	"interleukin-15"
MP:0008632	"increased circulating interleukin-16 level"	UBERON:0000178	"blood"	PR:000001374	"interleukin-16"
MP:0008614	"increased circulating interleukin-17 level"	UBERON:0000178	"blood"	PR:000001092	"interleukin-17"
MP:0008635	"increased circulating interleukin-18 level"	UBERON:0000178	"blood"	PR:000001376	"interleukin-18"
MP:0008599	"increased circulating interleukin-2 level"	UBERON:0000178	"blood"	PR:000001379	"interleukin-2"
MP:0009060	"increased circulating interleukin-21 level"	UBERON:0000178	"blood"	PR:000001382	"interleukin-21"
MP:0008623	"increased circulating interleukin-3 level"	UBERON:0000178	"blood"	PR:000001387	"interleukin-3"
MP:0008602	"increased circulating interleukin-4 level"	UBERON:0000178	"blood"	PR:000001391	"interleukin-4"
MP:0008626	"increased circulating interleukin-5 level"	UBERON:0000178	"blood"	PR:000001392	"interleukin-5"
MP:0008596	"increased circulating interleukin-6 level"	UBERON:0000178	"blood"	PR:000001393	"interleukin-6"
MP:0008605	"increased circulating interleukin-7 level"	UBERON:0000178	"blood"	PR:000001317	"interleukin-7"
MP:0011714	"increased circulating interleukin-8 level"	UBERON:0000178	"blood"	PR:000001395	"interleukin-8"
MP:0008629	"increased circulating interleukin-9 level"	UBERON:0000178	"blood"	PR:000001396	"interleukin-9"
MP:0002575	"increased circulating ketone body level"	UBERON:0000178	"blood"	CHEBI:73693	"ketone body"
MP:0013405	"increased circulating lactate level"	UBERON:0000178	"blood"	CHEBI:24996	"lactate"
MP:0005669	"increased circulating leptin level"	UBERON:0000178	"blood"	PR:000009758	"leptin"
MP:0001751	"increased circulating luteinizing hormone level"	UBERON:0000178	"blood"	CHEBI:81568	"Luteinizing hormone"
MP:0003373	"increased circulating mineralocorticoid level"	UBERON:0000178	"blood"	CHEBI:25354	"mineralocorticoid"
MP:0005665	"increased circulating noradrenaline level"	UBERON:0000178	"blood"	CHEBI:33569	"noradrenaline"
MP:0002904	"increased circulating parathyroid hormone level"	UBERON:0000178	"blood"	PR:000013429	"parathyroid hormone"
MP:0001566	"increased circulating phosphate level"	UBERON:0000178	"blood"	CHEBI:26020	"phosphate"
MP:0003980	"increased circulating phospholipid level"	UBERON:0000178	"blood"	CHEBI:16247	"phospholipid"
MP:0010078	"increased circulating phytosterol level"	UBERON:0000178	"blood"	CHEBI:26125	"phytosterols"
MP:0005186	"increased circulating progesterone level"	UBERON:0000178	"blood"	CHEBI:17026	"progesterone"
MP:0005124	"increased circulating prolactin level"	UBERON:0000178	"blood"	PR:000013246	"prolactin"
MP:0003352	"increased circulating renin level"	UBERON:0000178	"blood"	PR:000013883	"renin"
MP:0002781	"increased circulating testosterone level"	UBERON:0000178	"blood"	CHEBI:17347	"testosterone"
MP:0005122	"increased circulating thyroid-stimulating hormone level"	UBERON:0000178	"blood"	CHEBI:81567	"thyroid stimulating hormone"
MP:0005477	"increased circulating thyroxine level"	UBERON:0000178	"blood"	CHEBI:30660	"thyroxine"
MP:0005568	"increased circulating total protein level"	UBERON:0000178	"blood"	CHEBI:16541	"protein polypeptide chain"
MP:0001552	"increased circulating triglyceride level"	UBERON:0000178	"blood"	CHEBI:17855	"triglyceride"
