defined_class	defined_class_label	molecular_function	molecular_function_label
MP:0012645	"increased 5-aminolevulinate synthase activity"	GO:0003870	"5-aminolevulinate synthase activity"
MP:0020446	"increased NAD(P)H oxidase activity"	GO:0016174	"NAD(P)H oxidase activity"
MP:0012625	"increased acetylcholinesterase activity"	GO:0003990	"acetylcholinesterase activity"
MP:0011584	"increased alkaline phosphatase activity"	GO:0004035	"alkaline phosphatase activity"
MP:0011593	"increased catalase activity"	GO:0004096	"catalase activity"
MP:0012586	"increased catechol O-methyltransferase activity"	GO:0016206	"catechol O-methyltransferase activity"
MP:0012591	"increased choline O-acetyltransferase activity"	GO:0004102	"choline O-acetyltransferase activity"
MP:0020033	"increased cholinesterase activity"	GO:0004104	"cholinesterase activity"
MP:0020309	"increased creatine kinase activity"	GO:0004111	"creatine kinase activity"
MP:0011605	"increased glucokinase activity"	GO:0004340	"glucokinase activity"
MP:0012596	"increased glutamate decarboxylase activity"	GO:0004351	"glutamate decarboxylase activity"
MP:0011602	"increased glutathione peroxidase activity"	GO:0004602	"glutathione peroxidase activity"
MP:0011608	"increased glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity"	GO:0004365	"glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity"
MP:0020312	"increased hydroxymethylbilane synthase activity"	GO:0004418	"hydroxymethylbilane synthase activity"
MP:0011578	"increased lipoprotein lipase activity"	GO:0004465	"lipoprotein lipase activity"
MP:0012637	"increased monoamine oxidase activity"	GO:0097621	"monoamine oxidase activity"
MP:0012599	"increased nicotinamide N-methyltransferase activity"	GO:0008112	"nicotinamide N-methyltransferase activity"
MP:0011587	"increased ornithine carbamoyltransferase activity"	GO:0004585	"ornithine carbamoyltransferase activity"
MP:0020315	"increased palmitoyl-(protein) hydrolase activity"	GO:0008474	"palmitoyl-(protein) hydrolase activity"
MP:0012582	"increased peroxidase activity"	GO:0004601	"peroxidase activity"
MP:0020020	"increased phenylalanine decarboxylase activity"	GO:0050174	"phenylalanine decarboxylase activity"
MP:0011599	"increased phosphatidylcholine-sterol O-acyltransferase activity"	GO:0004607	"phosphatidylcholine-sterol O-acyltransferase activity"
MP:0020053	"increased procollagen-proline 4-dioxygenase activity"	GO:0004656	"procollagen-proline 4-dioxygenase activity"
MP:0020229	"increased proline oxidase activity"	GO:0051699	"proline oxidase activity"
MP:0011596	"increased purine-nucleoside phosphorylase activity"	GO:0004731	"purine-nucleoside phosphorylase activity"
MP:0020244	"increased pyruvate kinase activity"	GO:0004743	"pyruvate kinase activity"
MP:0020065	"increased thiopurine S-methyltransferase activity"	GO:0008119	"thiopurine S-methyltransferase activity"
MP:0011581	"increased triglyceride lipase activity"	GO:0004806	"triglyceride lipase activity"
MP:0020075	"increased tyrosine 3-monooxygenase activity"	GO:0004511	"tyrosine 3-monooxygenase activity"
MP:0020047	"increased tyrosine aminotransferase activity"	GO:0070547	"L-tyrosine aminotransferase activity"
