defined_class	defined_class_label	entity	entity_label
MP:0000017	"big ears"	UBERON:0001691	"external ear"
MP:0013446	"enlarged Harderian gland"	UBERON:0004187	"Harderian gland"
MP:0030372	"enlarged Meckel's cartilage"	UBERON:0003107	"Meckel's cartilage"
MP:0013386	"enlarged Meibomian gland"	UBERON:0001818	"tarsal gland"
MP:0008136	"enlarged Peyer's patches"	UBERON:0001211	"Peyer's patch"
MP:0008366	"enlarged adenohypophysis"	UBERON:0002196	"adenohypophysis"
MP:0020145	"enlarged adrenal gland x-zone"	UBERON:0009024	"adrenal gland X zone"
MP:0000642	"enlarged adrenal glands"	UBERON:0002369	"adrenal gland"
MP:0008300	"enlarged adrenal medulla"	UBERON:0001236	"adrenal medulla"
MP:0000646	"enlarged adrenocortical cells"	CL:0002097	"cortical cell of adrenal gland"
MP:0004556	"enlarged allantois"	UBERON:0004340	"allantois"
MP:0010591	"enlarged aortic valve"	UBERON:0002137	"aortic valve"
MP:0009631	"enlarged axillary lymph nodes"	UBERON:0001097	"axillary lymph node"
MP:0011380	"enlarged brain ventricles"	UBERON:0004086	"brain ventricle"
MP:0009249	"enlarged caput epididymis"	UBERON:0004358	"caput epididymis"
MP:0013612	"enlarged caudal vertebrae"	UBERON:0001095	"caudal vertebra"
MP:0009476	"enlarged cecum"	UBERON:0001153	"caecum"
MP:0005047	"enlarged celiac lymph nodes"	UBERON:0002508	"celiac lymph node"
MP:0008914	"enlarged cerebellum"	UBERON:0002037	"cerebellum"
MP:0008542	"enlarged cervical lymph nodes"	UBERON:0002429	"cervical lymph node"
MP:0001267	"enlarged chest"	UBERON:0001443	"chest"
MP:0003529	"enlarged clitoris"	UBERON:0002411	"clitoris"
MP:0009595	"enlarged corneocyte envelope"	GO:0001533	"cornified envelope"
MP:0009256	"enlarged corpus epididymis"	UBERON:0004359	"corpus epididymis"
MP:0000439	"enlarged cranium"	UBERON:0003128	"cranium"
MP:0008490	"enlarged dorsal root ganglion"	UBERON:0000044	"dorsal root ganglion"
MP:0011882	"enlarged duodenum"	UBERON:0002114	"duodenum"
MP:0009251	"enlarged endometrial glands"	UBERON:0002451	"endometrial gland"
MP:0004931	"enlarged epididymis"	UBERON:0001301	"epididymis"
MP:0004545	"enlarged esophagus"	UBERON:0001043	"esophagus"
MP:0009200	"enlarged external male genitalia"	UBERON:0004053	"external male genitalia"
MP:0009829	"enlarged eye anterior chamber"	UBERON:0001766	"anterior chamber of eyeball"
MP:0006343	"enlarged first pharyngeal arch"	UBERON:0004362	"pharyngeal arch 1"
MP:0012675	"enlarged floor plate"	UBERON:0003079	"floor plate"
MP:0001151	"enlarged foreskin"	UBERON:0001471	"skin of prepuce of penis"
MP:0008534	"enlarged fourth ventricle"	UBERON:0002422	"fourth ventricle"
MP:0004375	"enlarged frontal bone"	UBERON:0000209	"tetrapod frontal bone"
MP:0009342	"enlarged gallbladder"	UBERON:0002110	"gall bladder"
MP:0008383	"enlarged gonial bone"	UBERON:0003966	"gonial bone"
MP:0000381	"enlarged hair follicles"	UBERON:0002073	"hair follicle"
MP:0000274	"enlarged heart"	UBERON:0000948	"heart"
MP:0008726	"enlarged heart left atrium"	UBERON:0002079	"left cardiac atrium"
MP:0008727	"enlarged heart right atrium"	UBERON:0002078	"right cardiac atrium"
MP:0000573	"enlarged hind paws"	UBERON:0002387	"pes"
MP:0008282	"enlarged hippocampus"	UBERON:0001954	"Ammon's horn"
MP:0009483	"enlarged ileum"	UBERON:0002116	"ileum"
MP:0011571	"enlarged inferior vena cava valve"	UBERON:0005485	"valve of inferior vena cava"
MP:0009623	"enlarged inguinal lymph nodes"	UBERON:0001542	"inguinal lymph node"
MP:0004386	"enlarged interparietal bone"	UBERON:0002229	"interparietal bone"
MP:0003068	"enlarged kidney"	UBERON:0002113	"kidney"
MP:0003512	"enlarged labia"	UBERON:0004084	"genital labium"
MP:0003517	"enlarged labia majora"	UBERON:0004085	"labium majora"
MP:0003522	"enlarged labia minora"	UBERON:0004014	"labium minora"
MP:0013453	"enlarged lacrimal gland"	UBERON:0001817	"lacrimal gland"
MP:0008535	"enlarged lateral ventricles"	UBERON:0002285	"telencephalic ventricle"
MP:0001305	"enlarged lens"	UBERON:0000965	"lens of camera-type eye"
MP:0000599	"enlarged liver"	UBERON:0002107	"liver"
MP:0000602	"enlarged liver sinusoidal spaces"	UBERON:0006729	"liver perisinusoidal space"
MP:0004882	"enlarged lung"	UBERON:0002048	"lung"
MP:0000702	"enlarged lymph nodes"	UBERON:0000029	"lymph node"
MP:0010200	"enlarged lymphatic vessel"	UBERON:0001473	"lymphatic vessel"
MP:0030348	"enlarged mandibular prominence"	UBERON:0005867	"mandibular prominence"
MP:0030345	"enlarged maxillary prominence"	UBERON:0005868	"maxillary prominence"
MP:0008466	"enlarged mesenteric lymph nodes"	UBERON:0002509	"mesenteric lymph node"
MP:0010618	"enlarged mitral valve"	UBERON:0002135	"mitral valve"
MP:0004564	"enlarged myocardial fiber"	CL:0000746	"cardiac muscle cell"
MP:0004474	"enlarged nasal bone"	UBERON:0001681	"nasal bone"
MP:0030316	"enlarged neurocranium"	UBERON:0001703	"neurocranium"
MP:0030287	"enlarged occipital bone"	UBERON:0001676	"occipital bone"
MP:0010058	"enlarged olfactory bulb"	UBERON:0002264	"olfactory bulb"
MP:0008529	"enlarged optic nerve"	UBERON:0000941	"cranial nerve II"
MP:0003143	"enlarged otoliths"	UBERON:0002280	"otolith"
MP:0004832	"enlarged ovary"	UBERON:0000992	"ovary"
MP:0009068	"enlarged oviduct"	UBERON:0003889	"fallopian tube"
MP:0003450	"enlarged pancreas"	UBERON:0001264	"pancreas"
MP:0009171	"enlarged pancreatic islets"	UBERON:0000006	"islet of Langerhans"
MP:0003112	"enlarged parathyroid gland"	UBERON:0001132	"parathyroid gland"
MP:0013864	"enlarged paraumbilical vein"	UBERON:0035655	"paraumbilical vein"
MP:0004421	"enlarged parietal bone"	UBERON:0000210	"tetrapod parietal bone"
MP:0020242	"enlarged paws"	UBERON:0002470	"autopod region"
MP:0000291	"enlarged pericardium"	UBERON:0002407	"pericardium"
MP:0030312	"enlarged pharyngeal arch"	UBERON:0002539	"pharyngeal arch"
MP:0013364	"enlarged pineal gland"	UBERON:0001905	"pineal body"
MP:0000636	"enlarged pituitary gland"	UBERON:0000007	"pituitary gland"
MP:0008370	"enlarged pituitary intermediate lobe"	UBERON:0002432	"pars intermedia of adenohypophysis"
MP:0004260	"enlarged placenta"	UBERON:0001987	"placenta"
MP:0009635	"enlarged popliteal lymph nodes"	UBERON:0001543	"popliteal lymph node"
MP:0004958	"enlarged prostate gland"	UBERON:0002367	"prostate gland"
MP:0009738	"enlarged prostate gland anterior lobe"	UBERON:0001329	"prostate gland anterior lobe"
MP:0009739	"enlarged prostate gland dorsolateral lobe"	UBERON:0008808	"prostate gland dorsolateral lobe"
MP:0010600	"enlarged pulmonary valve"	UBERON:0002146	"pulmonary valve"
MP:0009516	"enlarged salivary gland"	UBERON:0001044	"saliva-secreting gland"
MP:0001150	"enlarged scrotum"	UBERON:0001300	"scrotum"
MP:0000652	"enlarged sebaceous gland"	UBERON:0001821	"sebaceous gland"
MP:0002997	"enlarged seminal vesicle"	UBERON:0000998	"seminal vesicle"
MP:0006308	"enlarged seminiferous tubules"	UBERON:0001343	"seminiferous tubule of testis"
MP:0001237	"enlarged spinous cells"	CL:0000649	"prickle cell"
MP:0000691	"enlarged spleen"	UBERON:0002106	"spleen"
MP:0003883	"enlarged stomach"	UBERON:0000945	"stomach"
MP:0002742	"enlarged submandibular lymph nodes"	UBERON:0002520	"submandibular lymph node"
MP:0001013	"enlarged superior cervical ganglion"	UBERON:0001989	"superior cervical ganglion"
MP:0003401	"enlarged tail bud"	UBERON:0002533	"post-anal tail bud"
MP:0004591	"enlarged tectorial membrane"	UBERON:0002233	"tectorial membrane of cochlea"
MP:0009048	"enlarged tectum"	UBERON:0002314	"midbrain tectum"
MP:0001148	"enlarged testis"	UBERON:0000473	"testis"
MP:0020526	"enlarged thalamus"	UBERON:0001897	"dorsal plus ventral thalamus"
MP:0030337	"enlarged third pharyngeal arch artery"	UBERON:0003120	"pharyngeal arch artery 3"
MP:0008536	"enlarged third ventricle"	UBERON:0002286	"third ventricle"
MP:0010104	"enlarged thoracic cage"	UBERON:0003252	"thoracic rib cage"
MP:0004735	"enlarged thoracic cavity"	UBERON:0002224	"thoracic cavity"
MP:0000709	"enlarged thymus"	UBERON:0002370	"thymus"
MP:0013593	"enlarged thymus cortex"	UBERON:0002123	"cortex of thymus"
MP:0013590	"enlarged thymus medulla"	UBERON:0002124	"medulla of thymus"
MP:0005355	"enlarged thyroid gland"	UBERON:0002046	"thyroid gland"
MP:0012672	"enlarged trachea"	UBERON:0003126	"trachea"
MP:0010627	"enlarged tricuspid valve"	UBERON:0002134	"tricuspid valve"
MP:0001095	"enlarged trigeminal ganglion"	UBERON:0001675	"trigeminal ganglion"
