defined_class	defined_class_label	entity	entity_label
MP:0009286	"increased abdominal fat pad weight"	UBERON:0003427	"abdominal fat pad"
MP:0013307	"increased adrenal gland weight"	UBERON:0002369	"adrenal gland"
MP:0001260	"increased body weight"	UBERON:0000468	"multicellular organism"
MP:0002176	"increased brain weight"	UBERON:0000955	"brain"
MP:0009430	"increased embryo weight"	UBERON:0000922	"embryo"
MP:0009288	"increased epididymal fat pad weight"	UBERON:0010412	"epididymal fat pad"
MP:0004928	"increased epididymis weight"	UBERON:0001301	"epididymis"
MP:0009423	"increased extensor digitorum longus weight"	UBERON:0001386	"extensor digitorum longus"
MP:0009432	"increased fetal weight"	UBERON:0000323	"late embryo"
MP:0009421	"increased gastrocnemius weight"	UBERON:0001388	"gastrocnemius"
MP:0009285	"increased gonadal fat pad weight"	UBERON:0003428	"gonadal fat pad"
MP:0011915	"increased heart left atrium weight"	UBERON:0002079	"left cardiac atrium"
MP:0011917	"increased heart right atrium weight"	UBERON:0002078	"right cardiac atrium"
MP:0003913	"increased heart right ventricle weight"	UBERON:0002080	"heart right ventricle"
MP:0002833	"increased heart weight"	UBERON:0000948	"heart"
MP:0009292	"increased inguinal fat pad weight"	UBERON:0010410	"inguinal fat pad"
MP:0003917	"increased kidney weight"	UBERON:0002113	"kidney"
MP:0003915	"increased left ventricle weight"	UBERON:0002084	"heart left ventricle"
MP:0002981	"increased liver weight"	UBERON:0002107	"liver"
MP:0005630	"increased lung weight"	UBERON:0002048	"lung"
MP:0003397	"increased muscle weight"	UBERON:0001630	"muscle organ"
MP:0010045	"increased omental fat pad weight"	UBERON:0010414	"omental fat pad"
MP:0004855	"increased ovary weight"	UBERON:0000992	"ovary"
MP:0009067	"increased oviduct weight"	UBERON:0003889	"fallopian tube"
MP:0009108	"increased pancreas weight"	UBERON:0001264	"pancreas"
MP:0009300	"increased parametrial fat pad weight"	UBERON:0010413	"parametrial fat pad"
MP:0008939	"increased pituitary gland weight"	UBERON:0000007	"pituitary gland"
MP:0004920	"increased placenta weight"	UBERON:0001987	"placenta"
MP:0004961	"increased prostate gland weight"	UBERON:0002367	"prostate gland"
MP:0010226	"increased quadriceps weight"	UBERON:0001377	"quadriceps femoris"
MP:0009304	"increased retroperitoneal fat pad weight"	UBERON:0010411	"retroperitoneal fat pad"
MP:0004909	"increased seminal vesicle weight"	UBERON:0000998	"seminal vesicle"
MP:0010238	"increased skeletal muscle weight"	UBERON:0001134	"skeletal muscle tissue"
MP:0009425	"increased soleus weight"	UBERON:0001389	"soleus muscle"
MP:0004952	"increased spleen weight"	UBERON:0002106	"spleen"
MP:0004851	"increased testis weight"	UBERON:0000473	"testis"
MP:0004955	"increased thymus weight"	UBERON:0002370	"thymus"
MP:0009427	"increased tibialis anterior weight"	UBERON:0001385	"tibialis anterior"
MP:0008908	"increased total fat pad weight"	UBERON:0003916	"fat pad"
MP:0011799	"increased urinary bladder weight"	UBERON:0001255	"urinary bladder"
MP:0004904	"increased uterus weight"	UBERON:0000995	"uterus"
MP:0008979	"increased vagina weight"	UBERON:0000996	"vagina"
MP:0011163	"increased wet-to-dry lung weight ratio"	MP:0003828	"pulmonary edema"
